fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.008719029520094899
1,svm_rbf,1.0,0.9090909090909091,0.71,0.9,0.8,0.17407093894471537
1,rf,0.4,0.5,0.81,0.6000000000000001,0.8400000000000001,0.2068925
1,xgb,0.6,0.6666666666666666,0.7416666666666667,0.7,0.7200000000000001,0.2598546831625025
2,logreg,0.6,0.6666666666666666,0.7753968253968253,0.7,0.6799999999999999,0.2818734269160204
2,svm_rbf,0.4,0.5,0.731111111111111,0.6000000000000001,0.6,0.25361944253314556
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.26939375
2,xgb,0.6,0.6666666666666666,0.7642857142857142,0.7,0.6400000000000001,0.2642209029584848
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2935020693163145
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.11577489435793403
3,rf,1.0,0.8,0.9166666666666666,0.8,0.9,0.16490486111111113
3,xgb,1.0,0.8,0.6083333333333333,0.8,0.7,0.20372935237328058
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.1340250030314629
4,svm_rbf,0.75,0.75,0.8928571428571428,0.775,0.85,0.19729330122095323
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.20806736111111113
4,xgb,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.2954838872359913
5,logreg,0.8,0.7272727272727273,0.7861904761904761,0.7,0.8,0.19098839762325623
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.22028936693653764
5,rf,0.8,0.7272727272727273,0.7644444444444445,0.7,0.68,0.26473125000000003
5,xgb,0.6,0.6,0.7644444444444445,0.6,0.68,0.3073565037847504
