fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.01883134564327315
1,svm_rbf,0.8,0.8,0.71,0.8,0.8,0.18470727173407933
1,rf,0.4,0.5,0.81,0.6000000000000001,0.8400000000000001,0.181399375
1,xgb,0.6,0.6666666666666666,0.835,0.7,0.8,0.21336246848507406
2,logreg,0.6,0.6,0.7753968253968253,0.6,0.6799999999999999,0.2928396989844157
2,svm_rbf,0.6,0.6666666666666666,0.7642857142857142,0.7,0.6400000000000001,0.2411198419845395
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.2672525
2,xgb,0.4,0.4444444444444444,0.7453968253968253,0.5,0.64,0.3278911150011369
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28634593185997465
3,svm_rbf,1.0,0.8,0.95,0.8,0.9500000000000001,0.12795746182724366
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.14560694444444447
3,xgb,1.0,0.8,0.8875,0.8,0.9,0.16048525044251927
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.12145411582289707
4,svm_rbf,0.75,0.6666666666666666,0.875,0.675,0.8,0.20781050216190186
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.17883402777777777
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.24308072430113803
5,logreg,0.8,0.7272727272727273,0.8528571428571428,0.7,0.8400000000000001,0.20316315453525702
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.1617526786604808
5,rf,0.8,0.7272727272727273,0.6866666666666665,0.7,0.6,0.24018250000000002
5,xgb,0.6,0.5454545454545454,0.8392857142857142,0.5,0.76,0.3202888462787534
