aug,metric,delta_mean,wilcoxon_p
noise_std,f1_pos,0.03333333333333333,0.31731050786291415
noise_med,f1_pos,0.016666666666666666,0.31731050786291415
shift,f1_pos,0.03333333333333333,0.31731050786291415
mixup,f1_pos,0.05,0.17971249487899976
mixup+shift,f1_pos,0.06666666666666667,0.10880943004054568
selected,f1_pos,0.09000000000000001,0.06559969214707187
