fold,setting,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,baseline,0.0,0.0,1.0,0.1508438215713923,,,
1,augmented,0.0,0.0,0.6666666666666666,0.19676022470263696,,,
2,baseline,0.0,0.0,1.0,0.08134616097874257,,,
2,augmented,0.0,0.0,1.0,3.771370092086357e-05,,,
3,baseline,0.0,0.0,1.0,0.12468549837056637,,,
3,augmented,0.0,0.0,1.0,0.014614468694761733,,,
4,baseline,0.0,0.0,0.3333333333333333,0.2679867232195231,,,
4,augmented,0.0,0.0,0.0,0.39673355876477884,,,
5,baseline,0.0,0.0,1.0,0.21349705324942034,,,
5,augmented,0.0,0.0,0.3333333333333333,0.23230632575444643,,,
6,baseline,0.0,0.0,1.0,0.08452502373984967,,,
6,augmented,0.0,0.0,1.0,3.554348317887908e-06,,,
7,baseline,0.0,0.0,1.0,0.13411126375194368,,,
7,augmented,0.0,0.0,1.0,0.01978485362563896,,,
8,baseline,0.0,0.0,0.6666666666666666,0.248883287038242,,,
8,augmented,0.0,0.0,0.3333333333333333,0.4640833773505791,,,
9,baseline,0.0,0.0,1.0,0.08056992576955269,,,
9,augmented,0.0,0.0,1.0,1.3680528913535416e-06,,,
10,baseline,0.0,0.0,1.0,0.07366794589560595,,,
10,augmented,0.0,0.0,1.0,0.00012700371812516395,,,
11,baseline,0.0,0.0,1.0,0.2131407965629832,,,
11,augmented,0.0,0.0,0.3333333333333333,0.2523277414994421,,,
12,baseline,0.0,0.0,0.3333333333333333,0.23357995287658248,,,
12,augmented,0.0,0.0,0.6666666666666666,0.12279859227606922,,,
13,baseline,0.0,0.0,1.0,0.12267240877165018,,,
13,augmented,0.0,0.0,1.0,0.12267240877165018,,,
14,baseline,0.0,0.0,1.0,0.09307861365116644,,,
14,augmented,0.0,0.0,1.0,0.09307861365116644,,,
15,baseline,0.0,0.0,0.6666666666666666,0.16139563639280943,,,
15,augmented,0.0,0.0,0.6666666666666666,0.15573130615731648,,,
16,baseline,0.0,0.0,1.0,0.08410985382543783,,,
16,augmented,0.0,0.0,1.0,0.001189573861500342,,,
17,baseline,0.0,0.0,0.0,0.36704858817908326,,,
17,augmented,0.3333333333333333,0.5,0.3333333333333333,0.5360136320412819,,,
18,baseline,0.0,0.0,0.0,0.3421621926157365,,,
18,augmented,0.0,0.0,0.0,0.5400856195691723,,,
19,baseline,0.6666666666666666,0.8,0.6666666666666666,0.17936450050953087,,,
19,augmented,0.6666666666666666,0.8,0.6666666666666666,0.17936450050953087,,,
20,baseline,0.0,0.0,0.0,0.6656068139300333,,,
20,augmented,0.0,0.0,0.0,0.9711657742119426,,,
21,baseline,0.0,0.0,0.0,0.4216347661892681,,,
21,augmented,1.0,1.0,1.0,0.0007258396065873914,,,
22,baseline,1.0,1.0,1.0,0.12053090522443,,,
22,augmented,1.0,1.0,1.0,0.12053090522443,,,
23,baseline,1.0,1.0,1.0,0.07343427736211325,,,
23,augmented,1.0,1.0,1.0,4.8943156030798284e-08,,,
24,baseline,0.0,0.0,0.0,0.5015601368425696,,,
24,augmented,1.0,1.0,1.0,0.19332174876652033,,,
25,baseline,1.0,1.0,1.0,0.20490780004817533,,,
25,augmented,1.0,1.0,1.0,0.000556640083325415,,,
26,baseline,0.0,0.0,1.0,0.1346394584218342,,,
26,augmented,0.0,0.0,0.0,0.5748823760289804,,,
27,baseline,1.0,1.0,1.0,0.20839707205836386,,,
27,augmented,1.0,1.0,1.0,0.20839707205836386,,,
28,baseline,0.0,0.0,0.0,0.7269711623748633,,,
28,augmented,0.0,0.0,0.0,0.9342777845751017,,,
29,baseline,0.0,0.0,0.0,0.3556329575847079,,,
29,augmented,0.0,0.0,0.0,0.5768752724213305,,,
30,baseline,0.0,0.0,0.0,0.34351631304498204,,,
30,augmented,0.0,0.0,0.0,0.7044659553588662,,,
