outer_fold,model,noise_std,noise_med,shift,mixup,p_apply,score,qc_auc,mmd2,knn_overlap,skipped
1,logreg,0.0,0.0,0.0,0.0,0.5,0.8065009884199386,,,,False
1,logreg,0.0,0.0,0.0,0.2,0.5,0.8028136181171646,,,,False
1,logreg,0.0,0.0,0.0,0.4,0.5,0.8491634908702034,,,,False
1,logreg,0.0,0.0,0.0,0.6,0.5,0.8165139488389288,,,,False
1,logreg,0.0,0.0,1.0,0.0,0.5,0.816173421372298,,,,False
1,logreg,0.0,0.0,1.0,0.2,0.5,0.8260784975471238,,,,False
1,logreg,0.0,0.0,1.0,0.4,0.5,0.7998426914269308,,,,False
1,logreg,0.0,0.0,1.0,0.6,0.5,0.8176106306218413,,,,False
1,logreg,0.0,0.0,2.0,0.0,0.5,0.8026259493001325,,,,False
1,logreg,0.0,0.0,2.0,0.2,0.5,0.8755479156895741,,,,False
1,logreg,0.0,0.0,2.0,0.4,0.5,0.8278103735705088,,,,False
1,logreg,0.0,0.0,2.0,0.6,0.5,0.7863265872357532,,,,False
1,logreg,0.0,0.0,4.0,0.0,0.5,,0.7253770390889503,0.00015155030882962883,1.0,True
1,logreg,0.0,0.0,4.0,0.2,0.5,,0.6360033856571253,0.0010248596628146256,0.9736842105263158,True
1,logreg,0.0,0.0,4.0,0.4,0.5,,0.6284626038781164,0.0015741220659850619,0.9254385964912281,True
1,logreg,0.0,0.0,4.0,0.6,0.5,,0.616112650046168,0.00235716514233153,0.9342105263157895,True
1,logreg,0.0,0.005,0.0,0.0,0.5,0.816020121678435,,,,False
1,logreg,0.0,0.005,0.0,0.2,0.5,0.7980402646242473,,,,False
1,logreg,0.0,0.005,0.0,0.4,0.5,0.8433968539620641,,,,False
1,logreg,0.0,0.005,0.0,0.6,0.5,0.798554609686867,,,,False
1,logreg,0.0,0.005,1.0,0.0,0.5,0.8007095695772586,,,,False
1,logreg,0.0,0.005,1.0,0.2,0.5,0.8293665417062854,,,,False
1,logreg,0.0,0.005,1.0,0.4,0.5,0.8309862033242016,,,,False
1,logreg,0.0,0.005,1.0,0.6,0.5,0.8302869329544519,,,,False
1,logreg,0.0,0.005,2.0,0.0,0.5,0.822873699960088,,,,False
1,logreg,0.0,0.005,2.0,0.2,0.5,0.8121804135040863,,,,False
1,logreg,0.0,0.005,2.0,0.4,0.5,0.8380772035767162,,,,False
1,logreg,0.0,0.005,2.0,0.6,0.5,0.8187889851509721,,,,False
1,logreg,0.0,0.005,4.0,0.0,0.5,,0.6058402585410897,6.951920627429331e-05,0.9912280701754386,True
1,logreg,0.0,0.005,4.0,0.2,0.5,0.812116179760209,,,,False
1,logreg,0.0,0.005,4.0,0.4,0.5,0.8390514627282646,,,,False
1,logreg,0.0,0.005,4.0,0.6,0.5,0.8318967349267409,,,,False
1,logreg,0.0,0.015,0.0,0.0,0.5,,0.6826715912588489,6.629305129290941e-07,1.0,True
1,logreg,0.0,0.015,0.0,0.2,0.5,0.8416312459806058,,,,False
1,logreg,0.0,0.015,0.0,0.4,0.5,0.8371452420510664,,,,False
1,logreg,0.0,0.015,0.0,0.6,0.5,0.801822131034366,,,,False
1,logreg,0.0,0.015,1.0,0.0,0.5,0.8023776865899216,,,,False
1,logreg,0.0,0.015,1.0,0.2,0.5,0.8433701702250765,,,,False
1,logreg,0.0,0.015,1.0,0.4,0.5,0.8450593312547466,,,,False
1,logreg,0.0,0.015,1.0,0.6,0.5,0.8489833710242914,,,,False
1,logreg,0.0,0.015,2.0,0.0,0.5,0.8414698745963111,,,,False
