aug,metric,delta_mean,wilcoxon_p
noise_std,f1_pos,0.017132664437012245,1.0
noise_med,f1_pos,0.006153846153846154,1.0
shift,f1_pos,0.02841471571906353,0.5
mixup,f1_pos,0.030275521579869392,0.5
mixup+shift,f1_pos,0.02841471571906353,0.5
selected,f1_pos,-0.03153400222965439,0.5
