method,n,label_col_mean,label_col_std,label_col_median,seed_mean,seed_std,seed_median,fold_id_mean,fold_id_std,fold_id_median,n_train_real_mean,n_train_real_std,n_train_real_median,n_test_real_mean,n_test_real_std,n_test_real_median,y_pos_train_real_mean,y_pos_train_real_std,y_pos_train_real_median,y_pos_test_real_mean,y_pos_test_real_std,y_pos_test_real_median,pls_n_components_mean,pls_n_components_std,pls_n_components_median,r2_train_mean,r2_train_std,r2_train_median,q2_test_mean,q2_test_std,q2_test_median,roc_auc_test_mean,roc_auc_test_std,roc_auc_test_median,pr_auc_test_mean,pr_auc_test_std,pr_auc_test_median,real_vs_synth_auc_mean,real_vs_synth_auc_std,real_vs_synth_auc_median,knn_domain_overlap_mean,knn_domain_overlap_std,knn_domain_overlap_median,dist_rr_median_mean,dist_rr_median_std,dist_rr_median_median,dist_rs_median_mean,dist_rs_median_std,dist_rs_median_median,dist_rr_q25_mean,dist_rr_q25_std,dist_rr_q25_median,dist_rr_q75_mean,dist_rr_q75_std,dist_rr_q75_median,dist_rs_q25_mean,dist_rs_q25_std,dist_rs_q25_median,dist_rs_q75_mean,dist_rs_q75_std,dist_rs_q75_median,dist_wasserstein_rr_rs_mean,dist_wasserstein_rr_rs_std,dist_wasserstein_rr_rs_median,gen_pca_dims_mean,gen_pca_dims_std,gen_pca_dims_median,gen_pca_var_cum_mean,gen_pca_var_cum_std,gen_pca_var_cum_median,n_synth_mean,n_synth_std,n_synth_median
baseline,450,,,,2.0,1.415787534549026,2.0,14.5,8.665074663899768,14.5,12.0,0.0,12.0,6.0,0.0,6.0,6.444444444444445,2.5462803610968683,5.0,3.2222222222222223,1.3161475958026685,3.0,2.0,0.0,2.0,0.29594768821760165,0.13352062346584959,0.2744340077766911,-2.469133693860329,5.7465123142671946,-0.44214152793286,0.3832222222222222,0.2598261833943557,0.4,0.6143604938271605,0.18460424953948304,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
classic,450,,,,2.0,1.415787534549026,2.0,14.5,8.665074663899768,14.5,12.0,0.0,12.0,6.0,0.0,6.0,6.444444444444445,2.5462803610968683,5.0,3.2222222222222223,1.3161475958026685,3.0,2.0,0.0,2.0,0.29372679714579253,0.1309212999347564,0.2727810765278076,-2.351831705819922,5.4385136749958365,-0.43994466850235026,0.38522839506172835,0.25977109192292014,0.4,0.6165827160493826,0.18644015117695237,0.6666666666666666,0.1580804232804233,0.04343898100091708,0.1571428571428571,0.2982222222222222,0.003629064401387063,0.29761904761904767,5.280848791864183,1.2364524212422652,4.968019962310791,4.663978145917256,1.0404947845582038,4.436318397521973,2.955681080553267,0.4531627910212439,2.941440224647522,9.044544939464993,1.4231649023655844,9.112427711486816,2.4426102293862235,0.3983134126138293,2.4011502265930176,8.802591667175292,1.4854045790368227,8.83535385131836,0.5357382801527655,0.1258262270160172,0.5215990578020095,,,,,,,72.0,0.0,72.0
vae,450,,,,2.0,1.415787534549026,2.0,14.5,8.665074663899768,14.5,12.0,0.0,12.0,6.0,0.0,6.0,6.444444444444445,2.5462803610968683,5.0,3.2222222222222223,1.3161475958026685,3.0,2.0,0.0,2.0,0.14126004909203527,0.07243054311581336,0.12760939317687192,-2.18513931803815,5.14658610602955,-0.39835268635609444,0.38903086419753086,0.2557166191543197,0.4,0.6153333333333334,0.18625123166199167,0.6388888888888888,0.36237037037037034,0.1785865511718386,0.36666666666666664,0.3653518518518519,0.06330348144030103,0.3666666666666667,5.280848791864183,1.2364524212422652,4.968019962310791,3.8404745223787096,0.7854080407205517,3.803402304649353,2.955681080553267,0.4531627910212439,2.941440224647522,9.044544939464993,1.4231649023655844,9.112427711486816,2.639910422431098,0.6354713939027181,2.5923222303390503,5.638880777359009,0.913090914385374,5.676412582397461,1.8709175277564687,0.35192810491552723,1.9020514678435794,2.7177777777777776,0.45058185045496,3.0,0.9783298608991835,0.013015982828959084,0.9842038452625275,12.0,0.0,12.0
