dataset,protocol,model,baseline_scenario,augmented_scenario,run_root,auc_baseline,auc_augmented,delta_auc,pr_auc_baseline,pr_auc_augmented,delta_pr_auc,f1_baseline,f1_augmented,delta_f1,recall_baseline,recall_augmented,delta_recall,specificity_baseline,specificity_augmented,delta_specificity,precision_baseline,precision_augmented,delta_precision,brier_baseline,brier_augmented,delta_brier,ece_baseline,ece_augmented,delta_ece
diabetes_saliva,CV holdout,lda,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.9463530487776834,0.948142863068305,0.0017898142906215275,0.94263049305538,0.9400299136022904,-0.0026005794530896686,0.8885260394439342,0.8945433879265169,0.0060173484825827295,0.9107454935572344,0.9165758973984416,0.0058304038412071435,0.8503226989365519,0.856622995632888,0.006300296696336138,0.8693542333031671,0.8736566236566237,0.004302390353456587,0.0871974253676417,0.082401155200949,-0.0047962701666927066,0.0523415064569549,0.0511474268506771,-0.0011940796062777995
diabetes_saliva,CV holdout,logreg,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.9463550432562856,0.95947371657293,0.013118673316644403,0.9512329218223874,0.9606778109456248,0.009444889123237377,0.8773162206809925,0.890649408045456,0.013333187364463539,0.8827658004685071,0.9167762249087807,0.03401042444027369,0.8599233256658914,0.8467886788678783,-0.013134646798013017,0.8719416386083053,0.8664948878379383,-0.005446750770367048,0.0907061171635098,0.0778037582056996,-0.012902358957810209,0.0561402316573171,0.051797288717335,-0.0043429429399821015
diabetes_saliva,CV holdout,plsda,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.9126806190317316,0.9135442283141496,0.0008636092824180208,0.9189901385222092,0.919885837521302,0.0008956989990928088,0.8339999604636299,0.8333453070538379,-0.0006546534097919832,0.8579611793336106,0.8488434989621076,-0.009117680371502956,0.7831483148314753,0.7967180051338388,0.013569690302363546,0.817124766573296,0.8198915845680911,0.0027668179947950566,0.127773471992406,0.1271145263018916,-0.0006589456905143898,0.0863447192194518,0.0846213922159266,-0.0017233270035252046
diabetes_saliva,CV holdout,svm_rbf,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.8705063727051585,0.9342193256975624,0.06371295299240387,0.885436984211435,0.933482189979745,0.04804520576830995,0.8026059139489267,0.862095424785085,0.05948951083615839,0.8428704576994038,0.9260643292124616,0.0831938715130578,0.723247324732466,0.7600183351668424,0.03677101043437636,0.7668949579831933,0.8067484318996416,0.039853473916448334,0.1491969449672662,0.1005732382563373,-0.048623706710928916,0.0787898106099318,0.0483554509803552,-0.0304343596295766
