method,n,label_col_mean,label_col_std,label_col_median,seed_mean,seed_std,seed_median,fold_id_mean,fold_id_std,fold_id_median,n_train_real_mean,n_train_real_std,n_train_real_median,n_test_real_mean,n_test_real_std,n_test_real_median,y_pos_train_real_mean,y_pos_train_real_std,y_pos_train_real_median,y_pos_test_real_mean,y_pos_test_real_std,y_pos_test_real_median,pls_n_components_mean,pls_n_components_std,pls_n_components_median,r2_train_mean,r2_train_std,r2_train_median,q2_test_mean,q2_test_std,q2_test_median,roc_auc_test_mean,roc_auc_test_std,roc_auc_test_median,pr_auc_test_mean,pr_auc_test_std,pr_auc_test_median,real_vs_synth_auc_mean,real_vs_synth_auc_std,real_vs_synth_auc_median,knn_domain_overlap_mean,knn_domain_overlap_std,knn_domain_overlap_median,dist_rr_median_mean,dist_rr_median_std,dist_rr_median_median,dist_rs_median_mean,dist_rs_median_std,dist_rs_median_median,dist_rr_q25_mean,dist_rr_q25_std,dist_rr_q25_median,dist_rr_q75_mean,dist_rr_q75_std,dist_rr_q75_median,dist_rs_q25_mean,dist_rs_q25_std,dist_rs_q25_median,dist_rs_q75_mean,dist_rs_q75_std,dist_rs_q75_median,dist_wasserstein_rr_rs_mean,dist_wasserstein_rr_rs_std,dist_wasserstein_rr_rs_median,gen_pca_dims_mean,gen_pca_dims_std,gen_pca_dims_median,gen_pca_var_cum_mean,gen_pca_var_cum_std,gen_pca_var_cum_median,n_synth_mean,n_synth_std,n_synth_median
baseline,450,,,,2.0,1.415787534549026,2.0,14.5,8.665074663899768,14.5,12.0,0.0,12.0,6.0,0.0,6.0,6.444444444444445,2.5462803610968683,5.0,3.2222222222222223,1.3161475958026685,3.0,2.0,0.0,2.0,0.49270324810459803,0.14061045777558248,0.4610190321117399,-1.050554706727665,1.870928438419893,-0.39380945146073465,0.5797592592592592,0.2630264047914799,0.5777777777777777,0.6902086419753085,0.2449160788504935,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
classic,450,,,,2.0,1.415787534549026,2.0,14.5,8.665074663899768,14.5,12.0,0.0,12.0,6.0,0.0,6.0,6.444444444444445,2.5462803610968683,5.0,3.2222222222222223,1.3161475958026685,3.0,2.0,0.0,2.0,0.49225461527388964,0.14233392340168372,0.46512587514071,-1.075809090222292,1.9438015317305766,-0.40220804501796026,0.581179012345679,0.26088383053755826,0.6,0.6934901234567901,0.24303176524115538,0.7,0.09107301587301588,0.027764992669048506,0.08857142857142855,0.2989894179894179,0.004254922780855738,0.30000000000000004,14.175810871124268,2.3901032272456226,13.827800750732422,13.04148993174235,2.328433066328979,12.805700778961182,8.624215298758612,1.3927919133349462,8.55634593963623,21.881294589572484,3.387392142952971,22.313865661621094,7.284689853456285,1.1008074582868153,7.192821264266968,21.00131081475152,3.2434326805354083,20.971442222595215,1.4541354935363235,0.3333030670219613,1.4153539645881164,,,,,,,72.0,0.0,72.0
vae,450,,,,2.0,1.415787534549026,2.0,14.5,8.665074663899768,14.5,12.0,0.0,12.0,6.0,0.0,6.0,6.444444444444445,2.5462803610968683,5.0,3.2222222222222223,1.3161475958026685,3.0,2.0,0.0,2.0,0.24199465396619235,0.07332960072779408,0.2264294281667319,-0.9208560584701606,1.7049878526036149,-0.37095649687703447,0.581358024691358,0.26396830765631785,0.6,0.6918456790123457,0.24495247970304077,0.7,0.22570370370370368,0.11694393232319573,0.21666666666666665,0.31587037037037036,0.04420601179089704,0.31666666666666665,14.175810871124268,2.3901032272456226,13.827800750732422,8.793963890075684,1.4442564395216315,8.757739067077637,8.624215298758612,1.3927919133349462,8.55634593963623,21.881294589572484,3.387392142952971,22.313865661621094,6.235783331659105,1.2442327263288984,6.223590850830078,14.233813118404813,2.2838274736369564,14.426984786987305,5.6393573531075285,0.9376266242906962,5.896868962004329,3.3244444444444445,0.5830400153421935,3.0,0.9613902172777388,0.006571691825692586,0.9607516825199127,12.0,0.0,12.0
