dataset,protocol,model,baseline_scenario,augmented_scenario,run_root,auc_baseline,auc_augmented,delta_auc,pr_auc_baseline,pr_auc_augmented,delta_pr_auc,f1_baseline,f1_augmented,delta_f1,recall_baseline,recall_augmented,delta_recall,specificity_baseline,specificity_augmented,delta_specificity,precision_baseline,precision_augmented,delta_precision,brier_baseline,brier_augmented,delta_brier,ece_baseline,ece_augmented,delta_ece
covid_saliva,MCDCV / grouped by ID,lda,A1_covid_baseline_d0,A2_covid_classic_aug_d0,run_20260225_072002,0.8952601410934745,0.9009060846560848,0.005645943562610278,0.9069383904984096,0.913187783145407,0.00624939264699742,0.8031599935989459,0.8025696288094366,-0.0005903647895092456,0.9261111111111112,0.9301587301587304,0.004047619047619189,0.5355555555555258,0.5229629629629339,-0.012592592592591934,0.7315401314789697,0.7270399127184114,-0.004500218760558283,0.1493780808497787,0.1449030503885263,-0.004475030461252388,0.1905449717331881,0.1847757609127222,-0.005769210820465914
covid_saliva,MCDCV / grouped by ID,logreg,A1_covid_baseline_d0,A2_covid_classic_aug_d0,run_20260225_072002,0.8272089947089946,0.8434700176366844,0.016261022927689828,0.857362369715687,0.8677045603044915,0.010342190588804479,0.747653952301336,0.7740627056137933,0.02640875331245729,0.7861111111111111,0.8391269841269842,0.05301587301587307,0.6462962962962604,0.6190740740740397,-0.027222222222220704,0.7526955123610736,0.7505121730538021,-0.002183339307271437,0.1873521047287392,0.1785279449577713,-0.008824159770967899,0.2082789813378674,0.2069564637182395,-0.0013225176196278998
covid_saliva,MCDCV / grouped by ID,plsda,A1_covid_baseline_d0,A2_covid_classic_aug_d0,run_20260225_072002,0.8711860670194004,0.8741181657848324,0.0029320987654319897,0.8895476292445516,0.8908355161222109,0.00128788687765935,0.8005950289851848,0.7996001659423283,-0.000994863042856453,0.901984126984127,0.9052380952380952,0.003253968253968176,0.5799074074073752,0.5698148148147831,-0.010092592592592098,0.7406987215882163,0.7367284022974644,-0.003970319290751867,0.1686469125594748,0.1681260246555126,-0.0005208879039622083,0.2159878589321364,0.2180732369914348,0.0020853780592983984
covid_saliva,MCDCV / grouped by ID,svm_lin,A1_covid_baseline_d0,A2_covid_classic_aug_d0,run_20260225_072002,0.8436728395061728,0.854647266313933,0.010974426807760174,0.86274035681244,0.8735775134982355,0.010837156685795546,0.782083868390961,0.7882414441591532,0.006157575768192203,0.852936507936508,0.8742857142857142,0.02134920634920623,0.616759259259225,0.5908333333333006,-0.025925925925924465,0.7506243135860223,0.7434420770734412,-0.007182236512581097,0.1713924344389414,0.1667562457317117,-0.004636188707229705,0.2058704721206194,0.2043987641329551,-0.0014717079876643002
covid_saliva,MCDCV / grouped by ID,svm_rbf,A1_covid_baseline_d0,A2_covid_classic_aug_d0,run_20260225_072002,0.6980996472663139,0.7152072310405644,0.01710758377425048,0.7812437157322454,0.7862673543555867,0.00502363862334132,0.6230873945304819,0.6485054058624216,0.02541801133193966,0.5946825396825397,0.6315079365079365,0.03682539682539676,0.6691666666666295,0.6594444444444079,-0.009722222222221633,0.6968588706058751,0.7050077772423097,0.008148906636434528,0.2254109669997724,0.221564745954079,-0.0038462210456934043,0.1995686982252383,0.200731278989003,0.0011625807637647145
diabetes_saliva,CV holdout,lda,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.9463530487776834,0.948142863068305,0.0017898142906215275,0.94263049305538,0.9400299136022904,-0.0026005794530896686,0.8885260394439342,0.8945433879265169,0.0060173484825827295,0.9107454935572344,0.9165758973984416,0.0058304038412071435,0.8503226989365519,0.856622995632888,0.006300296696336138,0.8693542333031671,0.8736566236566237,0.004302390353456587,0.0871974253676417,0.082401155200949,-0.0047962701666927066,0.0523415064569549,0.0511474268506771,-0.0011940796062777995
diabetes_saliva,CV holdout,logreg,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.9463550432562856,0.95947371657293,0.013118673316644403,0.9512329218223874,0.9606778109456248,0.009444889123237377,0.8773162206809925,0.890649408045456,0.013333187364463539,0.8827658004685071,0.9167762249087807,0.03401042444027369,0.8599233256658914,0.8467886788678783,-0.013134646798013017,0.8719416386083053,0.8664948878379383,-0.005446750770367048,0.0907061171635098,0.0778037582056996,-0.012902358957810209,0.0561402316573171,0.051797288717335,-0.0043429429399821015
diabetes_saliva,CV holdout,plsda,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.9126806190317316,0.9135442283141496,0.0008636092824180208,0.9189901385222092,0.919885837521302,0.0008956989990928088,0.8339999604636299,0.8333453070538379,-0.0006546534097919832,0.8579611793336106,0.8488434989621076,-0.009117680371502956,0.7831483148314753,0.7967180051338388,0.013569690302363546,0.817124766573296,0.8198915845680911,0.0027668179947950566,0.127773471992406,0.1271145263018916,-0.0006589456905143898,0.0863447192194518,0.0846213922159266,-0.0017233270035252046
diabetes_saliva,CV holdout,svm_rbf,B1_diab_baseline,B2_diab_strong_aug,run_20260225_072002,0.8705063727051585,0.9342193256975624,0.06371295299240387,0.885436984211435,0.933482189979745,0.04804520576830995,0.8026059139489267,0.862095424785085,0.05948951083615839,0.8428704576994038,0.9260643292124616,0.0831938715130578,0.723247324732466,0.7600183351668424,0.03677101043437636,0.7668949579831933,0.8067484318996416,0.039853473916448334,0.1491969449672662,0.1005732382563373,-0.048623706710928916,0.0787898106099318,0.0483554509803552,-0.0304343596295766
