preproc,use_mixup,factor,pc,r2_baseline_mean,r2_aug_mean,delta_r2_mean,delta_r2_std,n,p_aug_frac_lt_0_05
amide3,0,Parodont,PC4,0.0892756542012759,0.09312356357615113,0.00384790937487522,0.006444401416076948,5,0.0
paper_low,0,Parodont,PC9,0.0798636677518476,0.08357432222194365,0.00371065447009608,0.009506922026994772,5,0.0
paper_full,0,Age_factor,PC6,0.29071865371669936,0.29322045494958215,0.0025018012328828,0.0029513703591227845,5,1.0
paper_full,0,Parodont,PC6,0.30941950501735355,0.31179161866093363,0.00237211364358008,0.003261976581339187,5,0.0
amide3,0,Age_factor,PC4,0.0047820064464383,0.0070132338054748,0.00223122735903648,0.0015729720387562358,5,0.0
paper_full,0,Parodont,PC10,0.036485657533675706,0.03868774123769786,0.0022020837040221198,0.0027644501453800803,5,0.0
paper_low,0,Anamnes_factor,PC10,0.1227752004352493,0.12496467888339266,0.00218947844814332,0.011747691765986975,5,0.0
amide3,0,Parodont,PC5,0.102883601519975,0.10501921736762058,0.00213561584764562,0.005941014201550604,5,0.0
amide3,0,Anamnes_factor,PC5,0.3087415734718277,0.3106956593448741,0.0019540858730462997,0.010098604391679195,5,0.0
amide3,0,Anamnes_factor,PC8,0.2782386501729708,0.27994876623111886,0.00171011605814812,0.1275165549443147,5,0.4
paper_low,0,Parodont,PC7,0.47607237321344636,0.4775864391403363,0.00151406592688994,0.002230807152704313,5,0.0
paper_full,0,caries_factor,PC8,0.15841398281554622,0.15991224891308928,0.0014982660975430399,0.0019041688457918774,5,0.0
paper_full,0,Gender,PC9,0.09855595209915208,0.09991663025993944,0.0013606781607873705,0.0042666084967741946,5,0.0
paper_low,0,caries_factor,PC10,0.10247141815006051,0.10369635139318686,0.00122493324312634,0.0034487981258775864,5,0.0
paper_full,0,Anamnes_factor,PC6,0.02815871598627818,0.029011206094107338,0.00085249010782916,0.0016072129792344206,5,0.0
amide3,0,Anamnes_factor,PC1,0.5039195113602426,0.5046850387107502,0.0007655273505075999,0.004502389412937329,5,1.0
paper_full,0,Anamnes_factor,PC9,0.10207858557991227,0.1028225719698694,0.0007439863899571,0.0021301201969489464,5,0.0
amide3,0,Anamnes_factor,PC3,0.055199431160003795,0.05588991992865494,0.0006904887686511789,0.0014846555614700541,5,0.0
paper_full,0,Age_factor,PC10,0.00090112333224692,0.0014963968269116601,0.0005952734946647359,0.0010053212859092425,5,0.0
amide3,0,Anamnes_factor,PC4,0.0897560056606339,0.09029710354714274,0.00054109788650886,0.00273029913081218,5,0.0
paper_full,0,caries_factor,PC6,0.14001262773990886,0.14051356786202374,0.00050094012211486,0.0006693603962679859,5,0.0
paper_low,0,Anamnes_factor,PC3,0.0801143137838636,0.08050270754444948,0.00038839376058586003,0.0017225215784574014,5,0.0
paper_full,0,Parodont,PC7,0.028556936036874918,0.02893330314671902,0.0003763671098440784,0.0005279229533361065,5,0.0
paper_full,0,caries_factor,PC10,0.0053878138870026,0.005761089446242399,0.00037327555923976003,0.0007386527654509645,5,0.0
paper_low,0,caries_factor,PC7,0.0180663003782061,0.01843807338063284,0.00037177300242676,0.0008509755451580057,5,0.0
paper_low,0,Anamnes_factor,PC7,0.2845108949591897,0.28488135394943936,0.0003704589902496401,0.0026075886401390703,5,0.0
amide3,0,caries_factor,PC2,0.0535436396200588,0.05389799030109016,0.0003543506810314,0.001809182853096819,5,0.0
paper_full,0,Parodont,PC9,0.18426074684337626,0.18459828140851667,0.00033753456514040004,0.002384248599512338,5,0.0
amide3,0,Gender,PC5,0.0044191891344157,0.00472289590566898,0.00030370677125333994,0.002010187792813593,5,0.0
