preproc,method,algo,k,n,subsample_frac,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,ari_mean,ari_std
amide3,baseline,kmeans,2,60,0.8,0.5955336384880517,0.030690557311035562,12.081088920062294,0.31789889863187226,0.5854424081575474,0.3747412002563699,0.6884832681442852,0.3076685391664804
amide3,baseline,kmeans,3,60,0.8,0.46078023538579793,0.10881810476550766,14.656666941853882,3.5485946414219565,0.6219651506424175,0.22053796441781695,0.560215304356587,0.3548032092292358
amide3,baseline,kmeans,4,60,0.8,0.4166134086063058,0.06471900674095268,26.877636816792702,7.854657461914089,0.5568723615115757,0.1564186453430321,0.6640809418745625,0.2427815335021205
amide3,baseline,kmeans,5,60,0.8,0.3491189935989238,0.0440430331777344,28.645628081511383,10.40946923632727,0.6198759353246844,0.1286200417373484,0.5481540238996617,0.2150979238221337
amide3,baseline,gmm,2,60,0.8,0.5267375567306799,0.1552644741339268,9.395932906992634,3.756457640957225,0.4754993174809607,0.42568780451954263,0.4792541893218067,0.5016011217549847
amide3,baseline,gmm,3,60,0.8,0.38113871906997915,0.14020262401496505,12.226253001979718,3.9149864614725307,0.7039577438414367,0.31880887591467955,0.40406734648946774,0.2897309009619903
amide3,baseline,gmm,4,60,0.8,0.38021585125177626,0.08982888608582815,22.486519234009695,9.743291690416651,0.5900977790923005,0.19540378950351917,0.6260435572660042,0.24870798316301174
amide3,baseline,gmm,5,60,0.8,0.2932084189852768,0.11176563333180874,18.23721949087646,8.98280274651567,0.5983342442854646,0.27169680766254933,0.5864310820414184,0.21712201330716813
amide3,baseline,agglo,2,60,0.8,0.5811794446796712,0.02819107700013034,12.22977251535145,0.29200878429031507,0.7607115556660201,0.34422177233483814,0.7371577574967406,0.30440602468669353
amide3,baseline,agglo,3,60,0.8,0.4811564171979485,0.1102378538320424,15.695127935856254,3.272487690058839,0.5460996491625412,0.19694170589311744,0.6012145881058216,0.38927838841314455
amide3,baseline,agglo,4,60,0.8,0.3981270741017061,0.0652112496063726,24.622081104971716,8.929404134123894,0.5961538664200869,0.1626871221746143,0.6453720258102994,0.21607708467603487
amide3,baseline,agglo,5,60,0.8,0.3688023672919202,0.04679371481390685,29.14830633634849,9.972583433876755,0.5844337716169092,0.12802520239629975,0.6064724097039687,0.22437605099057595
amide3,classic_aug,kmeans,2,60,0.8,0.5765927046537399,0.07299904395251079,11.79139795516394,1.4619987984233358,0.6676708531882467,0.40030690543446645,0.6224992767689017,0.3552920930830842
amide3,classic_aug,kmeans,3,60,0.8,0.49235533823569616,0.1010911824630833,15.808491229784272,3.1964386418517794,0.5431950451483066,0.19852717053947888,0.6353251601534319,0.3714952339876626
amide3,classic_aug,kmeans,4,60,0.8,0.41155895044406254,0.07299864583165863,26.24764936402868,8.503833492090854,0.5719202883337771,0.1774356810698679,0.6675375535479072,0.2448459187397935
amide3,classic_aug,kmeans,5,60,0.8,0.345373975733916,0.051005456596711116,28.789444693972555,11.38740188001821,0.6455508004115601,0.16727877663172647,0.591816455966384,0.2413772619720743
amide3,classic_aug,gmm,2,60,0.8,0.5871265773971875,0.09457153602085844,10.73920253450952,2.808290832264961,0.3304483606052259,0.25770869445884137,0.7143002493722805,0.4434753232989253
amide3,classic_aug,gmm,3,60,0.8,0.4158981350560983,0.11242697565159243,12.086120248494439,4.110307255598884,0.5497411718219679,0.2903069706482893,0.4622505107650058,0.3122109942370674
amide3,classic_aug,gmm,4,60,0.8,0.35916003547608855,0.09612987421461419,18.83927146856122,10.061609377213827,0.6154484260010059,0.18708645578099758,0.5577635483337892,0.24865131823481532
amide3,classic_aug,gmm,5,60,0.8,0.2809657150879502,0.12481763561099862,17.05525346337308,9.666861366122115,0.6407063795890366,0.3111831728629967,0.5700305089682194,0.20501535649890618
amide3,classic_aug,agglo,2,60,0.8,0.5719761883219083,0.07405437931944274,11.82536678435289,1.507671637766287,0.7188890989567704,0.39191311500402976,0.63087010460052,0.35876210758909316
amide3,classic_aug,agglo,3,60,0.8,0.5120230431358019,0.0898112059293039,16.525675821967234,2.704182841039939,0.4930755635855107,0.16137665400732928,0.7181356738765892,0.37267302624768106
amide3,classic_aug,agglo,4,60,0.8,0.4076468432943026,0.06444334871892927,24.989889992506356,8.473807642681694,0.5758522423541695,0.16122894480857922,0.6248803770211784,0.22162689781313177
amide3,classic_aug,agglo,5,60,0.8,0.374101834744215,0.046506692088432,30.002532498266188,9.81818660874637,0.5801132215068844,0.11460395751509866,0.6999273711327998,0.209743491892357
