preproc,method,algo,k,n,subsample_frac,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,ari_mean,ari_std
amide3,baseline,agglo,2,60,0.8,0.5811794446796712,0.02819107700013034,12.22977251535145,0.29200878429031507,0.7607115556660201,0.34422177233483814,0.7371577574967406,0.30440602468669353
amide3,baseline,kmeans,2,60,0.8,0.5955336384880517,0.030690557311035562,12.081088920062294,0.31789889863187226,0.5854424081575474,0.3747412002563699,0.6884832681442852,0.3076685391664804
amide3,baseline,kmeans,4,60,0.8,0.4166134086063058,0.06471900674095268,26.877636816792702,7.854657461914089,0.5568723615115757,0.1564186453430321,0.6640809418745625,0.2427815335021205
amide3,baseline,agglo,4,60,0.8,0.3981270741017061,0.0652112496063726,24.622081104971716,8.929404134123894,0.5961538664200869,0.1626871221746143,0.6453720258102994,0.21607708467603487
amide3,baseline,gmm,4,60,0.8,0.38021585125177626,0.08982888608582815,22.486519234009695,9.743291690416651,0.5900977790923005,0.19540378950351917,0.6260435572660042,0.24870798316301174
amide3,classic_aug,agglo,3,60,0.8,0.5120230431358019,0.0898112059293039,16.525675821967234,2.704182841039939,0.4930755635855107,0.16137665400732928,0.7181356738765892,0.37267302624768106
amide3,classic_aug,gmm,2,60,0.8,0.5871265773971875,0.09457153602085844,10.73920253450952,2.808290832264961,0.3304483606052259,0.25770869445884137,0.7143002493722805,0.4434753232989253
amide3,classic_aug,agglo,5,60,0.8,0.374101834744215,0.046506692088432,30.002532498266188,9.81818660874637,0.5801132215068844,0.11460395751509866,0.6999273711327998,0.209743491892357
amide3,classic_aug,kmeans,4,60,0.8,0.41155895044406254,0.07299864583165863,26.24764936402868,8.503833492090854,0.5719202883337771,0.1774356810698679,0.6675375535479072,0.2448459187397935
amide3,classic_aug,kmeans,3,60,0.8,0.49235533823569616,0.1010911824630833,15.808491229784272,3.1964386418517794,0.5431950451483066,0.19852717053947888,0.6353251601534319,0.3714952339876626
