fold,model,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,logreg,0.5555555555555556,0.5,0.5833333333333334,0.24746255661094443,0.5777777777777777,0.6754154795821463,0.7333333333333334
1,svm_rbf,0.6666666666666666,0.6,0.6666666666666666,0.24028626305814985,0.6666666666666666,0.7313732563732563,0.725925925925926
1,rf,0.4444444444444444,0.47058823529411764,0.625,0.2734870751563693,0.5888888888888888,0.4994498121309715,0.5703703703703704
1,xgb,0.4444444444444444,0.4444444444444444,0.5833333333333334,0.27402781041893426,0.5555555555555556,0.659303176694481,0.6074074074074074
2,logreg,1.0,1.0,1.0,0.04823469815899508,1.0,1.0,1.0
2,svm_rbf,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.185417586693106,0.6666666666666667,0.8224056036556037,0.7638888888888888
2,rf,0.9166666666666666,0.7857142857142857,0.75,0.17205041648636976,0.75,0.8921223452473452,0.875
2,xgb,1.0,0.8888888888888888,0.875,0.14511198225618235,0.875,0.8722615347615348,0.875
3,logreg,0.6666666666666666,0.8,0.875,0.0529170957186313,0.8333333333333333,1.0,1.0
3,svm_rbf,0.6666666666666666,0.6666666666666666,0.75,0.20121940042535993,0.7333333333333334,0.6210045129162776,0.7111111111111111
3,rf,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.14168962151827533,0.8222222222222222,0.8721804511278196,0.8296296296296296
3,xgb,0.7777777777777778,0.875,0.9166666666666666,0.08493273757252008,0.8888888888888888,0.8800653594771243,0.8518518518518519
4,logreg,0.75,0.8571428571428571,0.875,0.06439192117315488,0.875,0.9866452991452991,0.986111111111111
4,svm_rbf,0.5,0.5714285714285714,0.625,0.23784308162277082,0.625,0.811011700717583,0.7777777777777778
4,rf,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.25608660952965473,0.5833333333333334,0.8079363038921863,0.75
4,xgb,0.75,0.72,0.7083333333333334,0.2066653494701869,0.7083333333333333,0.8441396351613069,0.8125
5,logreg,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.11436556226711066,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,svm_rbf,1.0,0.8888888888888888,0.875,0.12013691830926439,0.875,0.9462454212454212,0.9375
5,rf,1.0,0.8571428571428571,0.8333333333333334,0.14481264786191814,0.8333333333333333,0.9051857864357865,0.9027777777777779
5,xgb,0.9166666666666666,0.7586206896551724,0.7083333333333334,0.15202283832465424,0.7083333333333333,0.9066993464052289,0.875
