fold,aug,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,baseline,0.7777777777777778,0.6086956521739131,0.625,0.22882205466869263,0.6555555555555556,0.5804487179487179,0.6962962962962963
1,noise_std,0.7777777777777778,0.6086956521739131,0.625,0.22882205466869263,0.6555555555555556,0.5804487179487179,0.6962962962962963
1,noise_med,0.7777777777777778,0.6086956521739131,0.625,0.22882205466869263,0.6555555555555556,0.5804487179487179,0.6962962962962963
1,shift,0.5555555555555556,0.5263157894736842,0.625,0.23778812957409792,0.6111111111111112,0.6198599240265907,0.7111111111111111
1,mixup,0.6666666666666666,0.6,0.6666666666666666,0.20738654464483894,0.6666666666666666,0.7773420479302833,0.8
1,mixup+shift,0.5555555555555556,0.5263157894736842,0.625,0.24069184637070787,0.6111111111111112,0.5828228869895536,0.7037037037037037
1,selected,0.3333333333333333,0.35294117647058826,0.5416666666666666,0.2619963458964665,0.5,0.5740686782353448,0.6962962962962963
2,baseline,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.13436999484936732,0.9583333333333333,0.988095238095238,0.9861111111111112
2,noise_std,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.13436999484936732,0.9583333333333333,0.988095238095238,0.9861111111111112
2,noise_med,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05996102706410475,0.9166666666666666,0.988095238095238,0.9861111111111112
2,shift,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.13436999484936732,0.9583333333333333,0.988095238095238,0.9861111111111112
2,mixup,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.06529936666245288,0.9166666666666666,0.988095238095238,0.9861111111111112
2,mixup+shift,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.13436999484936732,0.9583333333333333,0.988095238095238,0.9861111111111112
2,selected,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.057019349987236866,0.9166666666666666,0.988095238095238,0.9861111111111112
3,baseline,0.6666666666666666,0.8,0.875,0.07864930711915054,0.8333333333333333,0.9765432098765432,0.9851851851851852
3,noise_std,0.6666666666666666,0.8,0.875,0.06836281975464019,0.8333333333333333,1.0,1.0
3,noise_med,0.6666666666666666,0.8,0.875,0.0688557386487733,0.8333333333333333,1.0,1.0
3,shift,0.6666666666666666,0.8,0.875,0.07864930711915054,0.8333333333333333,0.9765432098765432,0.9851851851851852
3,mixup,0.6666666666666666,0.8,0.875,0.05643062078877178,0.8333333333333333,1.0,1.0
3,mixup+shift,0.6666666666666666,0.8,0.875,0.06292277569615393,0.8333333333333333,1.0,1.0
3,selected,0.6666666666666666,0.8,0.875,0.07864930711915054,0.8333333333333333,0.9765432098765432,0.9851851851851852
4,baseline,1.0,1.0,1.0,0.09507152074735244,1.0,1.0,1.0
4,noise_std,1.0,1.0,1.0,0.018643792309471722,1.0,1.0,1.0
4,noise_med,1.0,1.0,1.0,0.09507152074735244,1.0,1.0,1.0
4,shift,1.0,1.0,1.0,0.09507152074735244,1.0,1.0,1.0
4,mixup,1.0,1.0,1.0,0.09507152074735244,1.0,1.0,1.0
4,mixup+shift,1.0,1.0,1.0,0.016580885419665927,1.0,1.0,1.0
4,selected,1.0,1.0,1.0,0.019428262277993488,1.0,1.0,1.0
5,baseline,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,noise_std,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,noise_med,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,shift,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,mixup,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.1007567018812457,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,mixup+shift,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,selected,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12807484717839754,0.8333333333333333,0.9537337662337662,0.9444444444444445
