fold,setting,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,baseline,0.7777777777777778,0.6086956521739131,0.625,0.22882205466869263,0.6555555555555556,0.5804487179487179,0.6962962962962963
1,augmented,0.5555555555555556,0.5263157894736842,0.625,0.2643952192361299,0.6111111111111112,0.547703839370506,0.6888888888888889
2,baseline,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.13436999484936732,0.9583333333333333,0.988095238095238,0.9861111111111112
2,augmented,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.0905061732756095,0.8333333333333333,0.9833333333333333,0.9791666666666666
3,baseline,0.6666666666666666,0.8,0.875,0.07864930711915054,0.8333333333333333,0.9765432098765432,0.9851851851851852
3,augmented,0.6666666666666666,0.8,0.875,0.06385904034791956,0.8333333333333333,1.0,1.0
4,baseline,1.0,1.0,1.0,0.09507152074735244,1.0,1.0,1.0
4,augmented,1.0,1.0,1.0,0.018467717079609397,1.0,1.0,1.0
5,baseline,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,augmented,0.8333333333333334,0.8,0.7916666666666666,0.12830480414185275,0.7916666666666667,0.9474206349206349,0.9375
