fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.005795109895326181
1,svm_rbf,1.0,0.8333333333333334,0.6861904761904761,0.8,0.76,0.18365846146386616
1,rf,0.6,0.6666666666666666,0.7595238095238095,0.7,0.76,0.1830125
1,xgb,0.6,0.6,0.7592857142857143,0.6,0.68,0.29317626755368004
2,logreg,0.6,0.6,0.7753968253968253,0.6,0.6799999999999999,0.2846706441324546
2,svm_rbf,0.4,0.5714285714285714,0.7611111111111111,0.7,0.64,0.23947475521476594
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.26150625000000005
2,xgb,0.4,0.5,0.7642857142857142,0.6000000000000001,0.6400000000000001,0.2516421922156324
3,logreg,0.75,0.6666666666666666,0.5666666666666667,0.675,0.6,0.3060910038108182
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.12513707741975416
3,rf,1.0,0.8,0.95,0.8,0.95,0.16324652777777782
3,xgb,1.0,0.7272727272727273,1.0,0.7,1.0,0.21262764139154783
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.13222202495114826
4,svm_rbf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.21132206195598602
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.19621875
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.2749511081973698
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.17618107980749997
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.149113627286091
5,rf,0.8,0.7272727272727273,0.6977777777777777,0.7,0.64,0.24942062500000003
5,xgb,0.6,0.6,0.7783333333333333,0.6,0.72,0.3216770331999191
