fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.005213780410683613
1,svm_rbf,1.0,0.7692307692307693,0.6683333333333333,0.7,0.72,0.22612208422542626
1,rf,0.6,0.6,0.8083333333333333,0.6,0.78,0.18665
1,xgb,0.6,0.5454545454545454,0.7892857142857141,0.5,0.72,0.3629160274101348
2,logreg,0.6,0.6,0.7753968253968253,0.6,0.6799999999999999,0.2772966772601035
2,svm_rbf,0.4,0.5,0.7611111111111111,0.6000000000000001,0.64,0.2431847539163472
2,rf,0.6,0.6666666666666666,0.7388888888888889,0.7,0.56,0.263058125
2,xgb,0.6,0.6666666666666666,0.7753968253968253,0.7,0.6799999999999999,0.26672975948562305
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28247065857830933
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.12807794256820307
3,rf,1.0,0.8,0.9166666666666666,0.8,0.925,0.1436729166666667
3,xgb,1.0,0.8,0.95,0.8,0.9500000000000001,0.1799836101045421
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.13958014668670843
4,svm_rbf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.19373119311509
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.20927569444444444
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.28641823793294585
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.1831579508332683
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.15904636712134393
5,rf,0.8,0.7272727272727273,0.8711111111111112,0.7,0.8,0.23127750000000002
5,xgb,0.6,0.6666666666666666,0.8583333333333332,0.7,0.8,0.2270475940914359
