fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.0071048241756605235
1,svm_rbf,1.0,0.8333333333333334,0.6861904761904761,0.8,0.76,0.18931079310126045
1,rf,0.6,0.6666666666666666,0.8261904761904761,0.7,0.8,0.17769125000000002
1,xgb,0.8,0.7272727272727273,0.8261904761904761,0.7,0.8,0.1953787863137234
2,logreg,0.4,0.5,0.7453968253968253,0.6000000000000001,0.64,0.30752894812840637
2,svm_rbf,0.6,0.6666666666666666,0.75,0.7,0.6000000000000001,0.2537076195244016
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.275358125
2,xgb,0.4,0.5,0.7753968253968253,0.6000000000000001,0.6799999999999999,0.27993813956635416
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.3019544120354039
3,svm_rbf,1.0,0.8,0.95,0.8,0.9500000000000001,0.15067874244793888
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.16339375000000003
3,xgb,1.0,0.8,1.0,0.8,1.0,0.1460188909270592
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.13093961388061878
4,svm_rbf,0.75,0.75,0.9166666666666666,0.775,0.9,0.18183530233142428
4,rf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.2058076388888889
4,xgb,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.27730263400679506
5,logreg,0.8,0.8,0.9266666666666665,0.8,0.92,0.13494201838778222
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.17235432726669198
5,rf,0.8,0.7272727272727273,0.7644444444444445,0.7,0.7000000000000001,0.24366062499999996
5,xgb,0.6,0.5454545454545454,0.8392857142857142,0.5,0.76,0.33707270834846265
