fold,setting,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,baseline,0.7816091954022989,0.8343558282208589,0.8383233532934131,0.1314131346261624,0.8408045977011495,0.9090355496448488,0.9044540229885057
1,augmented,0.8275862068965517,0.8622754491017964,0.8622754491017964,0.10464534919042487,0.8637931034482759,0.9320627321942446,0.9277298850574713
2,baseline,0.7586206896551724,0.8198757763975155,0.8263473053892215,0.13268229417496402,0.8293103448275863,0.9282454446515074,0.9060344827586206
2,augmented,0.8390804597701149,0.863905325443787,0.8622754491017964,0.10553725302500659,0.8632902298850574,0.9448625248276636,0.9333333333333333
3,baseline,0.7701149425287356,0.8220858895705522,0.8253012048192772,0.1302402685210271,0.8280954459479121,0.9283769976327583,0.9087734613705806
3,augmented,0.8390804597701149,0.8588235294117647,0.8554216867469879,0.11162756266345371,0.8562490906445511,0.9380205548234101,0.924923614142296
4,baseline,0.7906976744186046,0.8662420382165605,0.8734939759036144,0.12317586892897164,0.8765988372093023,0.9420721659325237,0.9332848837209302
4,augmented,0.8837209302325582,0.8941176470588236,0.891566265060241,0.08426060472265431,0.8918604651162791,0.9609447727062362,0.9549418604651163
5,baseline,0.735632183908046,0.7757575757575758,0.7771084337349398,0.13788625785251316,0.7792084970173141,0.907434252779599,0.9032445802415248
5,augmented,0.8160919540229885,0.8160919540229885,0.8072289156626506,0.11516452724050372,0.8067801542266841,0.9243432121073901,0.9207042048595956
