outer_fold,model,noise_std,noise_med,shift,mixup,p_apply,score,qc_auc,mmd2,knn_overlap,skipped
1,svm_rbf,0.0,0.03,4.0,0.2,0.5,,0.7751491510731717,0.003670860548731225,0.8957393483709273,True
1,svm_rbf,0.0,0.03,4.0,0.4,0.5,,0.7740267963140935,0.0034178212599285107,0.8591478696741854,True
1,svm_rbf,0.0,0.03,4.0,0.6,0.5,,0.7809976067989522,0.003449585666559729,0.8476190476190476,True
1,svm_rbf,0.005,0.0,0.0,0.0,0.5,,0.8497439086437899,8.814588214889341e-07,1.0,True
1,svm_rbf,0.005,0.0,0.0,0.2,0.5,,0.6782147097065973,0.001537923223341453,0.9669172932330827,True
1,svm_rbf,0.005,0.0,0.0,0.4,0.5,,0.669951947538018,0.0010894712862248301,0.9511278195488722,True
1,svm_rbf,0.005,0.0,0.0,0.6,0.5,,0.6811391260105151,0.002384562485310493,0.937593984962406,True
1,svm_rbf,0.005,0.0,1.0,0.0,0.5,,0.8038227146814405,0.003484583460643398,1.0,True
1,svm_rbf,0.005,0.0,1.0,0.2,0.5,,0.704668438012324,0.0035567544473706914,0.9824561403508771,True
1,svm_rbf,0.005,0.0,1.0,0.4,0.5,,0.7088669041023612,0.0036007456850457586,0.9674185463659147,True
1,svm_rbf,0.005,0.0,1.0,0.6,0.5,,0.7136631051312492,0.003489023201197927,0.9543859649122807,True
1,svm_rbf,0.005,0.0,2.0,0.0,0.5,,0.8323952738990332,0.0035716808511943032,0.9721804511278196,True
1,svm_rbf,0.005,0.0,2.0,0.2,0.5,,0.7359926131117267,0.0035407387119501532,0.9604010025062657,True
1,svm_rbf,0.005,0.0,2.0,0.4,0.5,,0.7172721276876401,0.00340222082791497,0.943358395989975,True
1,svm_rbf,0.005,0.0,2.0,0.6,0.5,,0.7170414758701265,0.0035025886456554467,0.9368421052631579,True
1,svm_rbf,0.005,0.0,4.0,0.0,0.5,,0.8721307026965912,0.003571383222249036,0.843609022556391,True
1,svm_rbf,0.005,0.0,4.0,0.2,0.5,,0.7375046639154276,0.0036856748592148936,0.8766917293233083,True
1,svm_rbf,0.005,0.0,4.0,0.4,0.5,,0.7447532364746452,0.003582871411858868,0.8616541353383459,True
1,svm_rbf,0.005,0.0,4.0,0.6,0.5,,0.7406214785083007,0.0035673416594175222,0.8501253132832081,True
1,svm_rbf,0.01,0.0,0.0,0.0,0.5,,0.9314557069365142,3.9284513939641386e-06,1.0,True
1,svm_rbf,0.01,0.0,0.0,0.2,0.5,,0.7267443043699474,0.0010583327350017768,0.9729323308270676,True
1,svm_rbf,0.01,0.0,0.0,0.4,0.5,,0.7251376561705014,0.0015093224401507843,0.9406015037593985,True
1,svm_rbf,0.01,0.0,0.0,0.6,0.5,,0.726175024026231,0.0022858380509886977,0.9218045112781955,True
1,svm_rbf,0.01,0.0,1.0,0.0,0.5,,0.8744914918876137,0.0035525324792951007,1.0,True
1,svm_rbf,0.01,0.0,1.0,0.2,0.5,,0.7495675278421617,0.0034701814416269183,0.9829573934837093,True
1,svm_rbf,0.01,0.0,1.0,0.4,0.5,,0.7463342566943675,0.0035295228149485602,0.9644110275689223,True
1,svm_rbf,0.01,0.0,1.0,0.6,0.5,,0.7381800365575593,0.003547954568490219,0.9604010025062657,True
1,svm_rbf,0.01,0.0,2.0,0.0,0.5,,0.8983537791848042,0.0035563156538400698,0.9706766917293234,True
1,svm_rbf,0.01,0.0,2.0,0.2,0.5,,0.7649510995533948,0.00369114939105053,0.9593984962406015,True
1,svm_rbf,0.01,0.0,2.0,0.4,0.5,,0.7600987430983472,0.0035061284695372397,0.9448621553884712,True
