aug,metric,delta_mean,wilcoxon_p
noise_std,f1_pos,0.014943470680070204,0.25
noise_med,f1_pos,0.007347527968242495,1.0
shift,f1_pos,0.0031887145953491958,1.0
mixup,f1_pos,0.023949791018851686,0.25
mixup+shift,f1_pos,0.03313849043785877,0.125
selected,f1_pos,0.019256787478027504,0.25
