fold,aug,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,baseline,0.7816091954022989,0.8343558282208589,0.8383233532934131,0.1314131346261624,0.8408045977011495,0.9090355496448488,0.9044540229885057
1,noise_std,0.8160919540229885,0.8452380952380952,0.844311377245509,0.11630607530013037,0.8455459770114943,0.9158838645229378,0.9074712643678161
1,noise_med,0.7816091954022989,0.8343558282208589,0.8383233532934131,0.1314131346261624,0.8408045977011495,0.9090355496448488,0.9044540229885057
1,shift,0.8160919540229885,0.8502994011976048,0.8502994011976048,0.11141214537910468,0.8517959770114942,0.9239392656557872,0.9162356321839081
1,mixup,0.7816091954022989,0.8343558282208589,0.8383233532934131,0.1314131346261624,0.8408045977011495,0.9090355496448488,0.9044540229885057
1,mixup+shift,0.7816091954022989,0.8343558282208589,0.8383233532934131,0.1314131346261624,0.8408045977011495,0.9090355496448488,0.9044540229885057
1,selected,0.8275862068965517,0.8571428571428571,0.8562874251497006,0.10907689514438929,0.8575431034482759,0.9238187504928658,0.9176724137931034
2,baseline,0.7586206896551724,0.8198757763975155,0.8263473053892215,0.13268229417496402,0.8293103448275863,0.9282454446515074,0.9060344827586206
2,noise_std,0.8275862068965517,0.8571428571428571,0.8562874251497006,0.11293295155648445,0.8575431034482759,0.9362604434940023,0.921551724137931
2,noise_med,0.7586206896551724,0.8198757763975155,0.8263473053892215,0.13268229417496402,0.8293103448275863,0.9282454446515074,0.9060344827586206
2,shift,0.7586206896551724,0.8198757763975155,0.8263473053892215,0.13268229417496402,0.8293103448275863,0.9282454446515074,0.9060344827586206
2,mixup,0.7586206896551724,0.8198757763975155,0.8263473053892215,0.13268229417496402,0.8293103448275863,0.9282454446515074,0.9060344827586206
2,mixup+shift,0.8275862068965517,0.8520710059171598,0.8502994011976048,0.10705519620132363,0.8512931034482758,0.9413347062973345,0.9298850574712644
2,selected,0.8505747126436781,0.8654970760233918,0.8622754491017964,0.10007639199260641,0.8627873563218391,0.9494384262059016,0.941235632183908
3,baseline,0.7701149425287356,0.8220858895705522,0.8253012048192772,0.1302402685210271,0.8280954459479121,0.9283769976327583,0.9087734613705806
3,noise_std,0.7701149425287356,0.8220858895705522,0.8253012048192772,0.1302402685210271,0.8280954459479121,0.9283769976327583,0.9087734613705806
3,noise_med,0.8390804597701149,0.8588235294117647,0.8554216867469879,0.11130650294301228,0.8562490906445511,0.9380296617051993,0.924341626655027
3,shift,0.7701149425287356,0.8220858895705522,0.8253012048192772,0.1302402685210271,0.8280954459479121,0.9283769976327583,0.9087734613705806
3,mixup,0.8275862068965517,0.8571428571428571,0.8554216867469879,0.10851853669099817,0.8568310781318201,0.9364364856985605,0.9257965953731995
3,mixup+shift,0.8505747126436781,0.8705882352941177,0.8674698795180723,0.10338216034669945,0.8683253310053833,0.9373547602174653,0.9307434890149862
3,selected,0.7701149425287356,0.8220858895705522,0.8253012048192772,0.1302402685210271,0.8280954459479121,0.9283769976327583,0.9087734613705806
4,baseline,0.7906976744186046,0.8662420382165605,0.8734939759036144,0.12317586892897164,0.8765988372093023,0.9420721659325237,0.9332848837209302
4,noise_std,0.7906976744186046,0.8662420382165605,0.8734939759036144,0.12317586892897164,0.8765988372093023,0.9420721659325237,0.9332848837209302
4,noise_med,0.7906976744186046,0.8662420382165605,0.8734939759036144,0.12317586892897164,0.8765988372093023,0.9420721659325237,0.9332848837209302
4,shift,0.7906976744186046,0.8662420382165605,0.8734939759036144,0.12317586892897164,0.8765988372093023,0.9420721659325237,0.9332848837209302
4,mixup,0.8953488372093024,0.9058823529411765,0.9036144578313253,0.08413501654620434,0.9039244186046511,0.9529327264396378,0.9529069767441861
4,mixup+shift,0.8837209302325582,0.8994082840236687,0.8975903614457831,0.08178506613641721,0.898110465116279,0.9612552754947046,0.9588662790697673
4,selected,0.8837209302325582,0.8941176470588236,0.891566265060241,0.08366433877587044,0.8918604651162791,0.9596919148025052,0.9549418604651163
5,baseline,0.735632183908046,0.7757575757575758,0.7771084337349398,0.13788625785251316,0.7792084970173141,0.907434252779599,0.9032445802415248
5,noise_std,0.7931034482758621,0.8023255813953488,0.7951807228915663,0.12241765216752336,0.7952859013531209,0.9119828269145541,0.9100829332169359
5,noise_med,0.735632183908046,0.7757575757575758,0.7771084337349398,0.13788625785251316,0.7792084970173141,0.907434252779599,0.9032445802415248
5,shift,0.735632183908046,0.7757575757575758,0.7771084337349398,0.13788625785251316,0.7792084970173141,0.907434252779599,0.9032445802415248
5,mixup,0.8160919540229885,0.8208092485549133,0.8132530120481928,0.11469558122018056,0.8131092681507348,0.9196797204796554,0.9183762549105194
5,mixup+shift,0.8275862068965517,0.8275862068965517,0.8192771084337349,0.11906867355625946,0.8188563945875164,0.9208872086130357,0.9170667830641641
5,selected,0.735632183908046,0.7757575757575758,0.7771084337349398,0.13788625785251316,0.7792084970173141,0.907434252779599,0.9032445802415248
