fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.009410817192317377
1,svm_rbf,1.0,0.7692307692307693,0.71,0.7,0.8,0.1812867690222793
1,rf,0.6,0.6,0.769047619047619,0.6,0.76,0.198635625
1,xgb,0.6,0.6,0.7961904761904761,0.6,0.76,0.2039394944393444
2,logreg,0.4,0.5,0.7253968253968255,0.6000000000000001,0.6,0.2916769055992759
2,svm_rbf,0.6,0.75,0.7888888888888888,0.8,0.6,0.2274762650243265
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.27030374999999995
2,xgb,0.4,0.5714285714285714,0.7753968253968253,0.7,0.6799999999999999,0.2817552445494164
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.290346138431857
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.13813776007875322
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.15114375000000002
3,xgb,1.0,0.8,0.6791666666666667,0.8,0.8,0.17088449357853175
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.14058485596069453
4,svm_rbf,0.75,0.6666666666666666,0.875,0.675,0.8,0.23071997307656922
4,rf,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.21715
4,xgb,0.75,0.6,0.875,0.575,0.8,0.2978231699414638
5,logreg,0.8,0.8,0.7861904761904761,0.8,0.8,0.17151903607435873
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.1597040994288617
5,rf,0.8,0.7272727272727273,0.8083333333333333,0.7,0.76,0.23492312499999998
5,xgb,0.6,0.6,0.7892857142857141,0.6,0.72,0.32744398595438645
