fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.014936890740340932
1,svm_rbf,0.8,0.7272727272727273,0.6861904761904761,0.7,0.76,0.19507517298562227
1,rf,0.6,0.6666666666666666,0.7226190476190477,0.7,0.6799999999999999,0.23123125
1,xgb,0.6,0.5454545454545454,0.7892857142857141,0.5,0.72,0.34620570237791726
2,logreg,0.4,0.5,0.7253968253968255,0.6000000000000001,0.6,0.2838842140733795
2,svm_rbf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.2437364914891515
2,rf,0.6,0.6666666666666666,0.6833333333333333,0.7,0.56,0.29516312499999997
2,xgb,0.4,0.4444444444444444,0.7453968253968253,0.5,0.64,0.3216304542046404
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28256225493912784
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.1251791042808077
3,rf,1.0,0.8,0.9166666666666666,0.8,0.9,0.16143055555555558
3,xgb,1.0,0.8,0.95,0.8,0.9500000000000001,0.14061206694112555
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.1440102241028781
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.22374938150772797
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.22045555555555554
4,xgb,0.75,0.6666666666666666,0.7152777777777777,0.675,0.6500000000000001,0.30707068238646795
5,logreg,0.8,0.8,0.7861904761904761,0.8,0.8,0.1592663186851851
5,svm_rbf,0.8,0.7272727272727273,0.8999999999999999,0.7,0.8,0.18263107313309218
5,rf,0.8,0.7272727272727273,0.7277777777777779,0.7,0.68,0.25844750000000005
5,xgb,0.6,0.75,0.885,0.8,0.8400000000000001,0.15983593910354216
