fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.013354201401018636
1,svm_rbf,1.0,0.7692307692307693,0.6861904761904761,0.7,0.76,0.20038776885091042
1,rf,0.6,0.6,0.7592857142857143,0.6,0.68,0.19317874999999998
1,xgb,0.6,0.6666666666666666,0.8528571428571428,0.7,0.8400000000000001,0.20059328716584127
2,logreg,0.6,0.6666666666666666,0.7892857142857141,0.7,0.72,0.2884556533622084
2,svm_rbf,0.4,0.5,0.7611111111111111,0.6000000000000001,0.64,0.2322668763514037
2,rf,0.6,0.6666666666666666,0.8111111111111111,0.7,0.6799999999999999,0.2477875
2,xgb,0.4,0.5714285714285714,0.7611111111111111,0.7,0.64,0.2660449826903838
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.30114170059586226
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.11729852273150906
3,rf,1.0,0.8,0.8875,0.8,0.9,0.16513125
3,xgb,1.0,0.7272727272727273,0.5428571428571429,0.7,0.6,0.2629687257426591
4,logreg,0.75,0.8571428571428571,0.8928571428571428,0.875,0.85,0.14050899794649868
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.2379173989808138
4,rf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.21920416666666667
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.26952095839565815
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.16533788627511517
5,svm_rbf,0.8,0.7272727272727273,0.885,0.7,0.8400000000000001,0.19265111831337003
5,rf,0.8,0.7272727272727273,0.7644444444444445,0.7,0.68,0.24932687500000003
5,xgb,0.6,0.6666666666666666,0.8392857142857142,0.7,0.76,0.2556116396758211
