aug,metric,delta_mean,wilcoxon_p
noise_std,f1_pos,-0.00923076923076922,1.0
noise_med,f1_pos,-0.01647597254004578,1.0
shift,f1_pos,-0.024446987032799416,0.5
mixup,f1_pos,-0.01647597254004578,1.0
mixup+shift,f1_pos,-0.0157147933006057,0.625
selected,f1_pos,-0.049706741770815,0.125
