preproc,method,algo,k,n,subsample_frac,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,ari_mean,ari_std
paper_full,baseline,kmeans,2,80,0.8,0.5819641573053682,0.1270111113027619,11.990394815116542,3.0299636469676328,0.3564571242547603,0.30550959876639744,0.680344659736698,0.4855821819606843
paper_full,baseline,kmeans,3,80,0.8,0.38224194407920054,0.06215725885161499,15.28547792979748,5.2014259909419795,0.7476635628239998,0.2703770203738421,0.6023549495398604,0.32802496920359236
paper_full,baseline,kmeans,4,80,0.8,0.3291715523178831,0.04738884287330426,16.996135313691315,4.252419936385998,0.7814082946449206,0.11871809767968607,0.5005820936303466,0.24271495421226014
paper_full,baseline,kmeans,5,80,0.8,0.2864229263770225,0.03855793516985924,16.093133620538907,6.482986339773174,0.7417369847598778,0.16548290872377153,0.5088167885978441,0.21635922713089886
paper_full,baseline,gmm,2,80,0.8,0.5967724518389721,0.10086337039838482,11.910856103087621,3.384353721222943,0.29870852092529604,0.21169809840420373,0.7010823356332035,0.4737554892697997
paper_full,baseline,gmm,3,80,0.8,0.4128800324827774,0.10353156904840964,13.16266210596702,5.341214377434447,0.43070887925594387,0.16767528010053284,0.6525656511511967,0.30370897397123076
paper_full,baseline,gmm,4,80,0.8,0.3005246312229863,0.09283640259579425,11.690136080806832,5.349946426401932,0.5736803920895044,0.3539650911754762,0.5730299796551412,0.2584432293361719
paper_full,baseline,gmm,5,80,0.8,0.19848760755281147,0.12707198955587254,10.86669956745541,5.4929935410168715,0.6648917281698246,0.32701486461686885,0.4414574815032857,0.24760909425544392
paper_full,baseline,agglo,2,80,0.8,0.588824426453354,0.11875245787864389,12.066743136335868,2.9955716303513746,0.3373988976525726,0.28746235211816196,0.6964422693529524,0.4767136383930568
paper_full,baseline,agglo,3,80,0.8,0.4161360117564891,0.09424570913236571,15.269442261794165,4.714228868228706,0.6197490511068152,0.323422724253613,0.5575538668159571,0.3321517814960857
paper_full,baseline,agglo,4,80,0.8,0.33180928715205354,0.04623549562197002,16.528333384333997,4.517488796399119,0.774248862239949,0.14900711073985481,0.5191087585086831,0.26768132196396416
paper_full,baseline,agglo,5,80,0.8,0.2983478083752881,0.03194215040823524,17.75446002737395,5.6178818421175185,0.6953685133399115,0.13203349726366773,0.5505907411248079,0.25033022204659355
paper_full,classic_aug,kmeans,2,80,0.8,0.5847358107566833,0.1258162654289792,12.096073355944421,2.9281509519663076,0.3520052352469749,0.30483764558108367,0.7005863048725669,0.47698464551060116
paper_full,classic_aug,kmeans,3,80,0.8,0.39175476748496296,0.08079852894790825,16.244159443350135,4.433079357155893,0.6510832739371406,0.2517335900945671,0.6134831585837434,0.3101885035342561
paper_full,classic_aug,kmeans,4,80,0.8,0.33267736323177816,0.05100743640650188,16.233685101549668,4.779290642323834,0.7696478752661422,0.16317469027051856,0.5133068684614881,0.2383796442611367
paper_full,classic_aug,kmeans,5,80,0.8,0.29849419854581355,0.028387156279243323,18.885618729011515,4.912612693198841,0.6892518212694598,0.11278297618090831,0.532381188678731,0.22186112144066447
paper_full,classic_aug,gmm,2,80,0.8,0.5910779345780611,0.11100640358494905,11.754961430109992,3.594035373646045,0.2961482415337417,0.19049121557759943,0.6796532066462805,0.4831280407576694
paper_full,classic_aug,gmm,3,80,0.8,0.3848633338697255,0.11216529263976041,12.207689886778542,5.083501791442151,0.4934042431824234,0.29924430591448764,0.5505404827326861,0.31781598657865795
paper_full,classic_aug,gmm,4,80,0.8,0.27103992986958475,0.10652239329288364,11.224061653072761,5.391749763522012,0.6190590882389111,0.302501365874508,0.5035783639569228,0.265131676314744
paper_full,classic_aug,gmm,5,80,0.8,0.20401913804889774,0.12035498280910044,11.662198784476045,5.600734027834879,0.6967522649909152,0.3395962224401375,0.43358844275943687,0.233629154876921
paper_full,classic_aug,agglo,2,80,0.8,0.6039992291480303,0.09791335247313519,12.3524183566098,2.7346216547043065,0.2974621988494075,0.22900903521156157,0.7580289544069164,0.4440066612494628
paper_full,classic_aug,agglo,3,80,0.8,0.41541996151208876,0.09052596868865471,14.923448295162965,4.639441947869062,0.6394374700263916,0.31653465892408356,0.5421617493539855,0.32272515914724526
paper_full,classic_aug,agglo,4,80,0.8,0.337401033192873,0.04684047780713936,16.582264559502534,4.251805715033612,0.741395378504232,0.14985657296740676,0.5254444074594402,0.24523499602366994
paper_full,classic_aug,agglo,5,80,0.8,0.2966105069965124,0.03825487679237181,17.1547316574882,5.9006285508662755,0.691027004323162,0.15724138487464287,0.5612864232255931,0.24543378221284598
