fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.005504995277239129
1,svm_rbf,1.0,0.8333333333333334,0.71,0.8,0.8,0.1802819267860168
1,rf,0.4,0.5,0.7861904761904761,0.6000000000000001,0.8,0.19570562500000002
1,xgb,0.6,0.6,0.6926190476190477,0.6,0.64,0.3247016072224021
2,logreg,0.6,0.6,0.7753968253968253,0.6,0.6799999999999999,0.2868660767399502
2,svm_rbf,0.4,0.5,0.75,0.6000000000000001,0.6000000000000001,0.24737707135060544
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.262474375
2,xgb,0.4,0.5714285714285714,0.7833333333333332,0.7,0.6799999999999999,0.23933502578095203
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28612789319618015
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.11068410841640025
3,rf,1.0,0.8,0.8875,0.8,0.9,0.1567291666666667
3,xgb,1.0,0.8,0.95,0.8,0.9500000000000001,0.15645494730675502
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.1294133980285459
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.19620990959209306
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.19819027777777778
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.2769682865844406
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.17902624711298537
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.16754334765091758
5,rf,0.8,0.7272727272727273,0.7644444444444445,0.7,0.68,0.2472725
5,xgb,0.6,0.6,0.7892857142857141,0.6,0.72,0.313924248290027
