fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.009395554055877109
1,svm_rbf,1.0,0.9090909090909091,0.71,0.9,0.8,0.1848067919415936
1,rf,0.6,0.6666666666666666,0.8083333333333333,0.7,0.76,0.19879437499999997
1,xgb,0.6,0.6,0.7226190476190477,0.6,0.6799999999999999,0.2893625708011928
2,logreg,0.4,0.4444444444444444,0.731111111111111,0.5,0.6,0.3561210315330761
2,svm_rbf,0.4,0.5,0.7611111111111111,0.6000000000000001,0.64,0.2386844764872443
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.250184375
2,xgb,0.4,0.5714285714285714,0.7342857142857142,0.7,0.6000000000000001,0.271509099737729
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28380171112903524
3,svm_rbf,1.0,0.8888888888888888,0.95,0.9,0.9500000000000001,0.12766146245031695
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.12495277777777779
3,xgb,1.0,0.7272727272727273,0.95,0.7,0.9500000000000001,0.18896797927323628
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.14732906819977068
4,svm_rbf,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.22996440897043197
4,rf,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.20095694444444442
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.30474349040123994
5,logreg,0.8,0.7272727272727273,0.7861904761904761,0.7,0.8,0.18379236999751852
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.17914601996829244
5,rf,0.8,0.7272727272727273,0.7944444444444445,0.7,0.72,0.24963124999999997
5,xgb,0.6,0.6,0.7892857142857141,0.6,0.72,0.28656464240815616
