fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.008057074617401544
1,svm_rbf,1.0,0.7692307692307693,0.6416666666666666,0.7,0.6799999999999999,0.21319806554585727
1,rf,0.6,0.6,0.8392857142857142,0.6,0.76,0.21809812499999998
1,xgb,0.6,0.6,0.7892857142857141,0.6,0.72,0.312209115214536
2,logreg,0.4,0.4444444444444444,0.7592857142857143,0.5,0.68,0.3090033613027156
2,svm_rbf,0.6,0.6666666666666666,0.7611111111111111,0.7,0.64,0.24228419910367896
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.26207562500000003
2,xgb,0.4,0.5714285714285714,0.75,0.7,0.6000000000000001,0.2536068169598368
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28905995034465837
3,svm_rbf,1.0,0.8,0.8875,0.8,0.9,0.1705109923225581
3,rf,1.0,0.8888888888888888,1.0,0.9,1.0,0.1281152777777778
3,xgb,1.0,0.8,1.0,0.8,1.0,0.14900730250100483
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.13136564394311828
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.21741239969771475
4,rf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.23535069444444442
4,xgb,0.75,0.6,0.8928571428571428,0.575,0.85,0.3405052638592567
5,logreg,0.8,0.7272727272727273,0.7861904761904761,0.7,0.8,0.20207886695524752
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.1885779053106673
5,rf,0.8,0.7272727272727273,0.8211111111111111,0.7,0.76,0.23176124999999997
5,xgb,0.8,0.7272727272727273,0.7944444444444445,0.7,0.72,0.24340994097770352
