fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.00927267068322276
1,svm_rbf,1.0,0.7692307692307693,0.6861904761904761,0.7,0.76,0.1945652490864689
1,rf,0.6,0.6666666666666666,0.7226190476190477,0.7,0.6799999999999999,0.19982062500000003
1,xgb,0.6,0.5454545454545454,0.6976190476190476,0.5,0.6000000000000001,0.36002322472159587
2,logreg,0.6,0.6,0.7892857142857141,0.6,0.72,0.2930291522643717
2,svm_rbf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.24008904895029604
2,rf,0.6,0.6666666666666666,0.75,0.7,0.6000000000000001,0.272146875
2,xgb,0.4,0.5,0.7833333333333332,0.6000000000000001,0.6799999999999999,0.2736418666739588
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2805361150037488
3,svm_rbf,1.0,1.0,1.0,1.0,1.0,0.08726294467499913
3,rf,1.0,0.8,0.8875,0.8,0.9,0.14873263888888888
3,xgb,1.0,0.8,0.8041666666666667,0.8,0.8500000000000001,0.15378359996662486
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.13107199558646204
4,svm_rbf,0.75,0.75,0.875,0.775,0.8,0.19553257654689288
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.24775624999999998
4,xgb,0.75,0.6,0.875,0.575,0.8,0.33008338287397465
5,logreg,0.8,0.8,0.8766666666666667,0.8,0.8800000000000001,0.16184782215252744
5,svm_rbf,0.8,0.8888888888888888,0.925,0.9,0.88,0.13620464804080404
5,rf,0.8,0.7272727272727273,0.911111111111111,0.7,0.8400000000000001,0.21052187500000002
5,xgb,0.6,0.6666666666666666,0.8711111111111112,0.7,0.8,0.18515881453970037
