fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.007676250320536942
1,svm_rbf,1.0,0.8333333333333334,0.6861904761904761,0.8,0.76,0.19006629571598274
1,rf,0.4,0.5,0.7861904761904761,0.6000000000000001,0.8,0.19753562500000002
1,xgb,0.6,0.75,0.9266666666666665,0.8,0.92,0.17563254141359202
2,logreg,0.6,0.6666666666666666,0.7892857142857141,0.7,0.72,0.2703001061268621
2,svm_rbf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.23330545114915463
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.25912
2,xgb,0.4,0.5714285714285714,0.7753968253968253,0.7,0.6799999999999999,0.2576333053536529
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2947783834524478
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.1309542208307063
3,rf,1.0,0.8,1.0,0.8,1.0,0.1475048611111111
3,xgb,1.0,0.8888888888888888,0.8041666666666667,0.9,0.8500000000000001,0.14001008602091056
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.1361779313180609
4,svm_rbf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.21953349899860106
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.21308333333333335
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.2960230988043344
5,logreg,0.8,0.8,0.7861904761904761,0.8,0.8,0.18328976310933615
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.19728332193627737
5,rf,0.8,0.7272727272727273,0.7944444444444445,0.7,0.72,0.239505625
5,xgb,0.6,0.6,0.8083333333333333,0.6,0.76,0.3110095073029636
