fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.004144504168716546
1,svm_rbf,1.0,0.9090909090909091,0.71,0.9,0.8,0.17574572207385603
1,rf,0.4,0.5,0.81,0.6000000000000001,0.8400000000000001,0.19958125000000002
1,xgb,0.4,0.5,0.8083333333333333,0.6000000000000001,0.76,0.24198609388913886
2,logreg,0.4,0.5,0.7592857142857143,0.6000000000000001,0.68,0.30998416328885703
2,svm_rbf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.24170282867848644
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.26522625000000005
2,xgb,0.6,0.75,0.8111111111111111,0.8,0.6799999999999999,0.22341040562016148
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.29583244792929614
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.1269895236307116
3,rf,1.0,0.8,0.8875,0.8,0.9,0.1583034722222222
3,xgb,1.0,0.8,0.6791666666666667,0.8,0.8,0.17060609164148616
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.12530513475340482
4,svm_rbf,0.75,0.75,0.9166666666666666,0.775,0.9,0.20106794716669973
4,rf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.18786111111111115
4,xgb,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.285534678862109
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.171647734716542
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.17235546663462273
5,rf,0.8,0.7272727272727273,0.7944444444444445,0.7,0.72,0.24650937499999998
5,xgb,0.6,0.5454545454545454,0.8253968253968254,0.5,0.72,0.35420395585020314
