fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.006577832838992234
1,svm_rbf,1.0,0.7692307692307693,0.71,0.7,0.8,0.175606677307735
1,rf,0.4,0.5,0.7861904761904761,0.6000000000000001,0.8,0.1956175
1,xgb,0.4,0.4444444444444444,0.6926190476190477,0.5,0.64,0.2806809797634047
2,logreg,0.6,0.6,0.7753968253968253,0.6,0.6799999999999999,0.28742171726806176
2,svm_rbf,0.4,0.5,0.75,0.6000000000000001,0.6000000000000001,0.24374763433076363
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.26251062500000005
2,xgb,0.4,0.5,0.7453968253968253,0.6000000000000001,0.64,0.2856447994214468
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.276826281177333
3,svm_rbf,1.0,0.8888888888888888,1.0,0.9,1.0,0.100602382676757
3,rf,1.0,0.8888888888888888,0.95,0.9,0.9500000000000001,0.13787708333333332
3,xgb,1.0,0.8,0.6791666666666667,0.8,0.8,0.16980040312304703
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.1380602823810915
4,svm_rbf,0.75,0.6666666666666666,0.875,0.675,0.8,0.1814174397899541
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.20369305555555559
4,xgb,0.75,0.6,0.8928571428571428,0.575,0.85,0.3223446059104354
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.17357128942289088
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.1662175251437591
5,rf,0.8,0.7272727272727273,0.7944444444444445,0.7,0.72,0.22908812500000003
5,xgb,0.6,0.6666666666666666,0.8392857142857142,0.7,0.76,0.24677570638963267
