fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.003426022396014563
1,svm_rbf,1.0,0.7692307692307693,0.71,0.7,0.8,0.17888107402999298
1,rf,0.8,0.7272727272727273,0.8261904761904761,0.7,0.8,0.169811875
1,xgb,1.0,0.9090909090909091,0.8766666666666667,0.9,0.8800000000000001,0.1242169452794791
2,logreg,0.6,0.6,0.7642857142857142,0.6,0.6400000000000001,0.2934120745635257
2,svm_rbf,0.4,0.5,0.7388888888888889,0.6000000000000001,0.56,0.2553644033003344
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.27601875
2,xgb,0.4,0.5,0.7753968253968253,0.6000000000000001,0.6799999999999999,0.29771648972588693
3,logreg,0.75,0.6666666666666666,0.5845238095238094,0.675,0.65,0.2921795529283061
3,svm_rbf,1.0,0.8888888888888888,1.0,0.9,1.0,0.10999470745948402
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.1531826388888889
3,xgb,1.0,0.8,1.0,0.8,1.0,0.17369574589438258
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.1301199295649473
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.2134176051984167
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.1896451388888889
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.2994502986510407
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.16942491187529427
5,svm_rbf,0.8,0.7272727272727273,0.911111111111111,0.7,0.8400000000000001,0.2168613795028858
5,rf,0.8,0.6666666666666666,0.7944444444444445,0.6000000000000001,0.72,0.24838812499999996
5,xgb,0.6,0.6,0.8253968253968254,0.6,0.72,0.27591016439370736
