fold,model,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,logreg,0.5555555555555556,0.5263157894736842,0.625,0.23864155404701645,0.6111111111111112,0.6709183336634317,0.7111111111111111
1,svm_rbf,0.6666666666666666,0.6,0.6666666666666666,0.2244458745058692,0.6666666666666666,0.7405603655603655,0.725925925925926
1,rf,0.6666666666666666,0.631578947368421,0.7083333333333334,0.27244568198970914,0.7,0.558069254637882,0.6222222222222222
1,xgb,0.6666666666666666,0.631578947368421,0.7083333333333334,0.23388822092950448,0.7,0.7389112878815396,0.6962962962962963
2,logreg,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.041551070796093645,0.9583333333333333,0.9935897435897435,0.9930555555555555
2,svm_rbf,0.5,0.631578947368421,0.7083333333333334,0.1794020028759329,0.7083333333333333,0.8463456621351357,0.7847222222222222
2,rf,0.75,0.6923076923076923,0.6666666666666666,0.17777976282775176,0.6666666666666667,0.8255395339954164,0.7916666666666667
2,xgb,0.8333333333333334,0.8,0.7916666666666666,0.16367214053937665,0.7916666666666667,0.8636967199467199,0.8472222222222222
3,logreg,0.7777777777777778,0.875,0.9166666666666666,0.048193703534370795,0.8888888888888888,1.0,1.0
3,svm_rbf,0.6666666666666666,0.631578947368421,0.7083333333333334,0.21793188202905686,0.7,0.6685981230098876,0.7555555555555555
3,rf,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.17860899558309576,0.6444444444444444,0.7791005291005292,0.7555555555555555
3,xgb,0.7777777777777778,0.8235294117647058,0.875,0.10835031404277119,0.8555555555555556,0.8800653594771243,0.8518518518518519
4,logreg,1.0,1.0,1.0,0.02449693242411848,1.0,1.0,1.0
4,svm_rbf,0.5,0.5714285714285714,0.625,0.24466370220459535,0.625,0.8489930820813174,0.8402777777777777
4,rf,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.201477244269638,0.6666666666666667,0.8320474664224665,0.8125
4,xgb,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.15380540919091343,0.8333333333333334,0.8276586352244246,0.8472222222222222
5,logreg,0.8333333333333334,0.8,0.7916666666666666,0.13016780941818795,0.7916666666666667,0.9462454212454212,0.9375
5,svm_rbf,1.0,0.8571428571428571,0.8333333333333334,0.15078862506917548,0.8333333333333333,0.9045787545787547,0.8958333333333334
5,rf,0.9166666666666666,0.8148148148148148,0.7916666666666666,0.15281787489388568,0.7916666666666666,0.89763431013431,0.8819444444444444
5,xgb,0.8333333333333334,0.8,0.7916666666666666,0.1573878929187568,0.7916666666666667,0.9117982711732712,0.8888888888888888
