fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.010251466134196432
1,svm_rbf,1.0,0.9090909090909091,0.71,0.9,0.8,0.16867228250180205
1,rf,0.4,0.5,0.81,0.6000000000000001,0.8400000000000001,0.20158874999999998
1,xgb,0.6,0.6666666666666666,0.7226190476190477,0.7,0.6799999999999999,0.27005362609300587
2,logreg,0.6,0.6666666666666666,0.7892857142857141,0.7,0.72,0.23443580848078688
2,svm_rbf,0.4,0.5,0.7611111111111111,0.6000000000000001,0.64,0.24021959996464465
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.271280625
2,xgb,0.6,0.75,0.8253968253968254,0.8,0.72,0.21900906326526676
3,logreg,0.75,0.6666666666666666,0.7291666666666666,0.675,0.7000000000000001,0.270009724832649
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.12701110417563874
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.133525
3,xgb,1.0,0.8888888888888888,0.8875,0.9,0.9,0.13249857575002158
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.13927551400673868
4,svm_rbf,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.2303143268363686
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.2185166666666667
4,xgb,0.75,0.6,0.875,0.575,0.8,0.342792461480258
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.16752634550708462
5,svm_rbf,0.8,0.8,0.911111111111111,0.8,0.8400000000000001,0.1945057944347268
5,rf,0.8,0.7272727272727273,0.81,0.7,0.7200000000000002,0.23437749999999996
5,xgb,0.6,0.6666666666666666,0.8392857142857142,0.7,0.76,0.25761092318501166
