fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.007433334584030704
1,svm_rbf,1.0,0.9090909090909091,0.71,0.9,0.8,0.18427020672250205
1,rf,0.6,0.6666666666666666,0.7861904761904761,0.7,0.8,0.18817250000000002
1,xgb,0.8,0.7272727272727273,0.7783333333333333,0.7,0.72,0.2506179824237188
2,logreg,0.6,0.6,0.7453968253968253,0.6,0.64,0.3000796280559021
2,svm_rbf,0.4,0.5,0.7611111111111111,0.6000000000000001,0.64,0.23333065162246674
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.261115625
2,xgb,0.4,0.5,0.7533333333333332,0.6000000000000001,0.64,0.2958208005990176
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28206531344950914
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.1214959068892161
3,rf,1.0,0.8,0.8875,0.8,0.9,0.1549673611111111
3,xgb,1.0,0.8,0.6791666666666667,0.8,0.8,0.17172344230715247
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.12947727610833015
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.2044106352003714
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.2076923611111111
4,xgb,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.3165155162286744
5,logreg,0.8,0.7272727272727273,0.7861904761904761,0.7,0.8,0.18213386385379898
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.16237958387368076
5,rf,0.8,0.7272727272727273,0.7644444444444445,0.7,0.68,0.26485875
5,xgb,0.6,0.6,0.7592857142857143,0.6,0.68,0.3362556752822169
