fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.01156341172581055
1,svm_rbf,1.0,0.8333333333333334,0.71,0.8,0.8,0.18006458444025808
1,rf,0.6,0.6,0.7961904761904761,0.6,0.76,0.18702000000000002
1,xgb,0.8,0.7272727272727273,0.7961904761904761,0.7,0.76,0.20001165261069515
2,logreg,0.6,0.6666666666666666,0.7892857142857141,0.7,0.72,0.24443381149647453
2,svm_rbf,0.6,0.6666666666666666,0.7611111111111111,0.7,0.64,0.2454588138997155
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.26999437499999995
2,xgb,0.2,0.2857142857142857,0.7166666666666666,0.5,0.64,0.2944183692114445
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2952202078285992
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.11286893108793968
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.15941250000000004
3,xgb,1.0,0.8,0.8875,0.8,0.9,0.14137902619634524
4,logreg,0.75,0.8571428571428571,0.8928571428571428,0.875,0.85,0.12208933794093012
4,svm_rbf,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.23945299545926016
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.22638055555555553
4,xgb,0.75,0.6,0.8611111111111112,0.575,0.75,0.3262656716010474
5,logreg,0.8,0.8,0.7861904761904761,0.8,0.8,0.17495908761202358
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.197912544200026
5,rf,0.8,0.7272727272727273,0.7116666666666667,0.7,0.68,0.281255
5,xgb,0.6,0.6,0.7783333333333333,0.6,0.72,0.30810743896616916
