fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.0060686388287891965
1,svm_rbf,0.8,0.8,0.71,0.8,0.8,0.18675155200594892
1,rf,0.2,0.2857142857142857,0.81,0.5,0.8400000000000001,0.199850625
1,xgb,0.4,0.5,0.7783333333333333,0.6000000000000001,0.72,0.2516362455918298
2,logreg,0.6,0.6,0.7592857142857143,0.6,0.68,0.2954134202565573
2,svm_rbf,0.4,0.5,0.7611111111111111,0.6000000000000001,0.64,0.2551428048096188
2,rf,0.6,0.6666666666666666,0.7888888888888888,0.7,0.6,0.27882875
2,xgb,0.4,0.5714285714285714,0.8111111111111111,0.7,0.6799999999999999,0.26026447036915246
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2971317317593948
3,svm_rbf,1.0,0.8888888888888888,0.95,0.9,0.9500000000000001,0.12088776966310315
3,rf,1.0,0.8,0.9166666666666666,0.8,0.9,0.1444013888888889
3,xgb,1.0,0.8888888888888888,0.6791666666666667,0.9,0.8,0.1314760766947703
4,logreg,0.75,0.8571428571428571,0.8928571428571428,0.875,0.85,0.13220661015361881
4,svm_rbf,0.75,0.6666666666666666,0.875,0.675,0.8,0.2448574921100112
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.22795277777777775
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.30941702910738195
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.17376289227611147
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.16944466107080217
5,rf,0.8,0.7272727272727273,0.7644444444444445,0.7,0.68,0.25558937499999995
5,xgb,0.6,0.6,0.7453968253968253,0.6,0.64,0.3297200949754485
