aug,metric,delta_mean,wilcoxon_p
noise_std,f1_pos,-0.017201783723522858,0.5
noise_med,f1_pos,-0.01647597254004578,1.0
shift,f1_pos,-0.017201783723522858,0.5
mixup,f1_pos,0.00403010033444815,1.0
mixup+shift,f1_pos,-0.017230769230769227,0.5
selected,f1_pos,0.0,1.0
