fold,model,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,logreg,0.7777777777777778,0.6086956521739131,0.625,0.22882205466869263,0.6555555555555556,0.5804487179487179,0.6962962962962963
1,svm_rbf,0.3333333333333333,0.35294117647058826,0.5416666666666666,0.2647236888407661,0.5,0.41134760301426965,0.5703703703703704
1,rf,0.0,0.0,0.4166666666666667,0.30227825938379516,0.3333333333333333,0.2722803955540528,0.1925925925925926
1,xgb,0.0,0.0,0.4583333333333333,0.27728589774568174,0.36666666666666664,0.2743891952892716,0.2074074074074074
2,logreg,0.9166666666666666,0.9565217391304348,0.9583333333333334,0.13436999484936732,0.9583333333333333,0.988095238095238,0.9861111111111112
2,svm_rbf,0.5,0.5714285714285714,0.625,0.24937298745341194,0.625,0.7083792955074419,0.5833333333333334
2,rf,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.28118084117542125,0.4166666666666667,0.4061887430931044,0.3055555555555556
2,xgb,0.75,0.6,0.5,0.24267636436996556,0.5,0.6190353992985572,0.6041666666666667
3,logreg,0.6666666666666666,0.8,0.875,0.07864930711915054,0.8333333333333333,0.9765432098765432,0.9851851851851852
3,svm_rbf,0.5555555555555556,0.625,0.75,0.203865962830015,0.7111111111111111,0.646497184732479,0.6814814814814815
3,rf,0.5555555555555556,0.6666666666666666,0.7916666666666666,0.196619397419183,0.7444444444444445,0.7332671957671958,0.7037037037037037
3,xgb,0.5555555555555556,0.6666666666666666,0.7916666666666666,0.18783285224638288,0.7444444444444445,0.7877214170692431,0.7333333333333334
4,logreg,1.0,1.0,1.0,0.09507152074735244,1.0,1.0,1.0
4,svm_rbf,0.5,0.5714285714285714,0.625,0.2396566200743319,0.625,0.745717966673849,0.7152777777777778
4,rf,0.5,0.5714285714285714,0.625,0.24654165090575988,0.625,0.7562853769897114,0.673611111111111
4,xgb,0.5,0.5714285714285714,0.625,0.26404872955868797,0.625,0.6614326907519127,0.513888888888889
5,logreg,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.12251300300828638,0.8333333333333333,0.9515873015873015,0.9444444444444444
5,svm_rbf,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.14018876442443595,0.9166666666666667,0.9654761904761904,0.9583333333333334
5,rf,0.5833333333333334,0.7368421052631579,0.7916666666666666,0.17639631416020632,0.7916666666666667,0.9368686868686869,0.9097222222222222
5,xgb,0.5,0.6666666666666666,0.75,0.20258285884899527,0.75,0.9433774014656366,0.9375
