rank,index,dist2,is_outlier,cutoff_chi2,df,ID
1,22,10988.212334973283,True,59.70306430442994,30,N23
2,54,3282.670323273515,True,59.70306430442994,30,P25
3,20,2788.9637230583194,True,59.70306430442994,30,N21
4,57,2746.1953741259726,True,59.70306430442994,30,P28
5,16,1267.429571990317,True,59.70306430442994,30,N17
