wn,pval,qval,mean_pos,mean_neg,diff,valid,reason
800.0,0.3788509239066905,0.8403939818421335,0.20830626142473116,0.2360458192344444,-0.02773955780971324,True,
802.0,0.3773508728985697,0.8403939818421335,0.20837818799892469,0.23616823454222227,-0.027790046543297586,True,
804.0,0.37624898347770463,0.8403939818421335,0.20855767153225802,0.23639295072333336,-0.02783527919107534,True,
806.0,0.37501643337303703,0.8403939818421335,0.20882144308924735,0.2367230716255556,-0.02790162853630823,True,
808.0,0.3732866967788774,0.8403939818421335,0.20913141347526873,0.23713691652444438,-0.02800550304917565,True,
810.0,0.3707586314426571,0.8403939818421335,0.20946704392688173,0.23762757335222226,-0.02816052942534053,True,
812.0,0.36718142294329903,0.8403939818421335,0.20981942200967751,0.23819929162888887,-0.02837986961921135,True,
814.0,0.3624266577483676,0.8403939818421335,0.21016339443978488,0.23883517090111123,-0.028671776461326348,True,
816.0,0.3564214049885239,0.8403939818421335,0.21046142712903224,0.23950237056444448,-0.029040943435412248,True,
818.0,0.349045138289672,0.8403939818421335,0.2106892454408602,0.2401821953966667,-0.02949294995580648,True,
820.0,0.3402175569981193,0.8403939818421335,0.2108410888612904,0.2408729834244444,-0.030031894563154,True,
822.0,0.3301469365991623,0.8403939818421335,0.21092303139354837,0.24157309995777773,-0.03065006856422936,True,
824.0,0.31934250813437354,0.8403939818421335,0.21096818535913975,0.24229549222888885,-0.031327306869749105,True,
826.0,0.3082213089638885,0.8403939818421335,0.211040256711828,0.2430902504288888,-0.0320499937170608,True,
828.0,0.2969732450470882,0.8403939818421335,0.21118376758602145,0.24399721213666667,-0.03281344455064522,True,
830.0,0.28595439224248903,0.8403939818421335,0.21138390715591393,0.24497792215999997,-0.03359401500408604,True,
832.0,0.27590012953104737,0.8244158632415821,0.21160418668602157,0.24593971210333326,-0.03433552541731169,True,
834.0,0.26741724401127653,0.8185576615467124,0.21184194026451603,0.24682978288555557,-0.034987842621039544,True,
836.0,0.2603322617916864,0.8179872596807608,0.21212095273870976,0.24768176211,-0.03556080937129025,True,
838.0,0.25381242486932437,0.8179872596807608,0.21245286967849458,0.2485717789566667,-0.03611890927817213,True,
840.0,0.2471970900543145,0.8179872596807608,0.2128436630193549,0.24955995612555554,-0.03671629310620064,True,
842.0,0.24059656492647188,0.8179872596807608,0.2133252281913978,0.25067255757777784,-0.03734732938638005,True,
844.0,0.2346168516691012,0.8179872596807608,0.21393583732365593,0.25189986758999994,-0.03796403026634401,True,
846.0,0.22969216032871373,0.8179872596807608,0.21467011017311835,0.2531957244655555,-0.038525614292437144,True,
848.0,0.2257498161038058,0.8179872596807608,0.2154728897408603,0.2544980240766667,-0.03902513433580643,True,
850.0,0.22237899205590844,0.8179872596807608,0.21628120942795706,0.25576118479000004,-0.03947997536204298,True,
852.0,0.2191731891618768,0.8179872596807608,0.21704716135376337,0.25695806907444446,-0.039910907720681094,True,
854.0,0.21595252999468134,0.8179872596807608,0.21773288698279572,0.2580611288577777,-0.04032824187498199,True,
856.0,0.21282622877731633,0.8179872596807608,0.21832540225806454,0.2590498000422222,-0.04072439778415768,True,
858.0,0.21005818710299595,0.8179872596807608,0.21885538580645153,0.2599351937922222,-0.041079807985770656,True,
860.0,0.20786261355179614,0.8179872596807608,0.21936806371935477,0.26074558376333345,-0.04137752004397868,True,
862.0,0.2063144915232714,0.8179872596807608,0.219872596839785,0.2614833464577778,-0.041610749617992826,True,
864.0,0.20539806299432553,0.8179872596807608,0.22034676916451618,0.26212548688111115,-0.04177871771659497,True,
866.0,0.2050721515005847,0.8179872596807608,0.22077588268172046,0.2626557264933334,-0.04187984381161294,True,
868.0,0.2052307146011886,0.8179872596807608,0.22115040519462362,0.2630664901188889,-0.04191608492426527,True,
870.0,0.2056930744715926,0.8179872596807608,0.22143242516559133,0.26332750295888896,-0.041895077793297625,True,
872.0,0.20626993236929614,0.8179872596807608,0.22156398700107519,0.2633886454833333,-0.04182465848225811,True,
874.0,0.2067986355322764,0.8179872596807608,0.22151959442043004,0.2632321971155555,-0.04171260269512547,True,
876.0,0.20710253286191455,0.8179872596807608,0.2213139958731183,0.26288839388444446,-0.04157439801132615,True,
878.0,0.20700155268728093,0.8179872596807608,0.22096966515591412,0.2624046488299999,-0.041434983674085796,True,
880.0,0.20639678041843149,0.8179872596807608,0.22052069656559134,0.2618404624333333,-0.04131976586774197,True,
882.0,0.20523369459880433,0.8179872596807608,0.2200428790322581,0.26129591543666664,-0.04125303640440853,True,
884.0,0.2033729409486665,0.8179872596807608,0.21963349344301072,0.2608988993300001,-0.041265405886989376,True,
886.0,0.200658374750977,0.8179872596807608,0.2193529171978494,0.26073650187777775,-0.04138358467992834,True,
888.0,0.19725814035908845,0.8179872596807608,0.2192143538,0.2608099393511111,-0.041595585551111064,True,
890.0,0.19385331190543864,0.8179872596807608,0.21921187301827963,0.2610416541099999,-0.04182978109172028,True,
892.0,0.19136529557549045,0.8179872596807608,0.2193164869935485,0.2612964493133333,-0.04197996231978479,True,
894.0,0.19041905371398354,0.8179872596807608,0.21945482609139785,0.2614201914133333,-0.04196536532193543,True,
896.0,0.19102073316273513,0.8179872596807608,0.21954991505053764,0.26132591627444446,-0.04177600122390682,True,
898.0,0.19264304344115793,0.8179872596807608,0.21959177532258067,0.2610633143922223,-0.04147153906964163,True,
900.0,0.19463144585301353,0.8179872596807608,0.21963483092795702,0.26077141964777784,-0.041136588719820816,True,
902.0,0.1966849583975279,0.8179872596807608,0.21974213583548388,0.2605677405155555,-0.0408256046800716,True,
