fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.0070648729184071574
1,svm_rbf,0.8,0.8,0.6861904761904761,0.8,0.76,0.18718849019058176
1,rf,0.6,0.6666666666666666,0.7861904761904761,0.7,0.8,0.198038125
1,xgb,0.6,0.5454545454545454,0.7753968253968253,0.5,0.6799999999999999,0.32895969401267955
2,logreg,0.4,0.4444444444444444,0.7453968253968253,0.5,0.64,0.31619204796949074
2,svm_rbf,0.4,0.5714285714285714,0.7888888888888888,0.7,0.6,0.24536317475700042
2,rf,0.6,0.6666666666666666,0.7388888888888889,0.7,0.56,0.260986875
2,xgb,0.4,0.5,0.7753968253968253,0.6000000000000001,0.6799999999999999,0.2716706998495434
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.29906354854787853
3,svm_rbf,1.0,0.8888888888888888,1.0,0.9,1.0,0.09255706458412205
3,rf,1.0,0.8,0.9166666666666666,0.8,0.9,0.15973263888888886
3,xgb,1.0,0.8,0.95,0.8,0.9500000000000001,0.1425770552377034
4,logreg,0.75,0.75,0.8611111111111112,0.775,0.75,0.1501080851393758
4,svm_rbf,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.20556567966748374
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.19593958333333336
4,xgb,0.75,0.6,0.875,0.575,0.8,0.26637941398545756
5,logreg,0.8,0.8,0.8766666666666667,0.8,0.8800000000000001,0.15885586738393273
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.1659224938445815
5,rf,0.8,0.7272727272727273,0.911111111111111,0.7,0.8400000000000001,0.217180625
5,xgb,0.6,0.75,0.885,0.8,0.8400000000000001,0.1845716199261149
