fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.010856423644602686
1,svm_rbf,1.0,0.7692307692307693,0.71,0.7,0.8,0.19118852268977377
1,rf,0.8,0.7272727272727273,0.7761904761904761,0.7,0.78,0.166999375
1,xgb,0.6,0.6,0.8261904761904761,0.6,0.8,0.21816718146114517
2,logreg,0.4,0.5,0.7592857142857143,0.6000000000000001,0.68,0.2977365786862741
2,svm_rbf,0.6,0.6666666666666666,0.7388888888888889,0.7,0.56,0.24844199078063905
2,rf,0.6,0.6666666666666666,0.7388888888888889,0.7,0.56,0.27727
2,xgb,0.4,0.5714285714285714,0.8253968253968254,0.7,0.72,0.2527209396346001
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.28471859253980497
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.1451401816308146
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.1499451388888889
3,xgb,1.0,0.8,0.95,0.8,0.9500000000000001,0.16344194074055246
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.12831121505038434
4,svm_rbf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.21769159968890697
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.21065555555555557
4,xgb,0.75,0.6666666666666666,0.875,0.675,0.8,0.30049744861202193
5,logreg,0.8,0.8,0.7861904761904761,0.8,0.8,0.16182453491641172
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.19048816607308588
5,rf,0.8,0.7272727272727273,0.6644444444444444,0.7,0.62,0.256204375
5,xgb,0.6,0.6666666666666666,0.8392857142857142,0.7,0.76,0.2235797114056414
