fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.0021704980084697586
1,svm_rbf,1.0,0.8333333333333334,0.6861904761904761,0.8,0.76,0.18443392104006268
1,rf,0.6,0.6666666666666666,0.7595238095238095,0.7,0.76,0.19328875
1,xgb,0.6,0.6,0.8261904761904761,0.6,0.8,0.20497450041443188
2,logreg,0.4,0.5,0.7592857142857143,0.6000000000000001,0.68,0.2756343778780028
2,svm_rbf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.23642480331829838
2,rf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.27295375
2,xgb,0.4,0.5714285714285714,0.8111111111111111,0.7,0.6799999999999999,0.23853818163862223
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.26775709221255706
3,svm_rbf,1.0,0.8,1.0,0.8,1.0,0.09758360594290927
3,rf,1.0,0.8888888888888888,0.95,0.9,0.9500000000000001,0.14292916666666666
3,xgb,1.0,0.8888888888888888,0.95,0.9,0.9500000000000001,0.1395234248370656
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.1387415784695455
4,svm_rbf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.231192296886244
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.19909583333333336
4,xgb,0.75,0.6666666666666666,0.8611111111111112,0.675,0.75,0.27823013914280054
5,logreg,0.8,0.8,0.7861904761904761,0.8,0.8,0.1930112112546007
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.1762367302778378
5,rf,0.8,0.7272727272727273,0.8711111111111112,0.7,0.8,0.22511125000000004
5,xgb,0.8,0.8,0.835,0.8,0.8,0.225662794846173
