fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.006420707079703557
1,svm_rbf,0.8,0.8,0.71,0.8,0.8,0.17247375923277813
1,rf,0.6,0.6666666666666666,0.7683333333333333,0.7,0.76,0.20279625
1,xgb,0.6,0.6,0.7416666666666667,0.6,0.7200000000000001,0.24304124396897073
2,logreg,0.4,0.5,0.7342857142857142,0.6000000000000001,0.6000000000000001,0.31997668161464365
2,svm_rbf,0.6,0.6666666666666666,0.75,0.7,0.6000000000000001,0.2483148345954087
2,rf,0.6,0.6666666666666666,0.75,0.7,0.6000000000000001,0.27282562499999996
2,xgb,0.4,0.5,0.7533333333333332,0.6000000000000001,0.64,0.31806571369672526
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2904085303528509
3,svm_rbf,1.0,0.8,0.95,0.8,0.9500000000000001,0.14672668854398904
3,rf,1.0,0.8,1.0,0.8,1.0,0.13253958333333335
3,xgb,1.0,0.8,1.0,0.8,1.0,0.1364528422979654
4,logreg,0.75,0.8571428571428571,0.875,0.875,0.8,0.14788904003406567
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.20773796556190616
4,rf,0.75,0.6666666666666666,0.875,0.675,0.8,0.19727291666666666
4,xgb,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.27719111357323284
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.173232202763638
5,svm_rbf,0.8,0.7272727272727273,0.925,0.7,0.88,0.17334530834862583
5,rf,0.8,0.7272727272727273,0.7944444444444445,0.7,0.72,0.23227125
5,xgb,0.6,0.6666666666666666,0.8392857142857142,0.7,0.76,0.27982598703948236
