fold,model,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,logreg,1.0,0.967741935483871,0.9666666666666667,0.01801270004947364,0.9666666666666667,1.0,1.0
1,svm_rbf,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20005788845408812,0.6666666666666666,0.7134892303545554,0.7644444444444445
1,rf,0.5333333333333333,0.6153846153846154,0.6666666666666666,0.184891815336494,0.6666666666666667,0.8366133049956579,0.8533333333333333
1,xgb,0.7333333333333333,0.7586206896551724,0.7666666666666667,0.18939990568617424,0.7666666666666666,0.8316050810787652,0.8222222222222222
2,logreg,0.6,0.72,0.7666666666666667,0.21499385002911695,0.7666666666666666,0.8020589619720053,0.72
2,svm_rbf,0.6,0.75,0.8,0.18495344674726982,0.8,0.8830094596761262,0.8088888888888889
2,rf,0.5333333333333333,0.6153846153846154,0.6666666666666666,0.24698162266167853,0.6666666666666667,0.8060896358543417,0.6977777777777777
2,xgb,0.5333333333333333,0.6666666666666666,0.7333333333333333,0.24006029063620682,0.7333333333333334,0.8300241720671597,0.7644444444444444
3,logreg,0.75,0.6666666666666666,0.6666666666666666,0.2821080985721517,0.675,0.5632133854850573,0.7111111111111111
3,svm_rbf,1.0,0.8571428571428571,0.8518518518518519,0.13459125611197809,0.8666666666666667,0.9176679801679802,0.9277777777777778
3,rf,1.0,0.7058823529411765,0.6296296296296297,0.23507088984046048,0.6666666666666666,0.9642857142857144,0.95
3,xgb,1.0,0.7272727272727273,0.6666666666666666,0.2752312749074842,0.7,0.9179894179894181,0.9000000000000001
4,logreg,0.75,0.8181818181818182,0.8518518518518519,0.14470253983813808,0.8416666666666667,0.8829649882281462,0.8388888888888889
4,svm_rbf,0.75,0.75,0.7777777777777778,0.16316847276198734,0.775,0.8572767782326607,0.8777777777777778
4,rf,0.75,0.72,0.7407407407407407,0.1759787427602331,0.7416666666666667,0.8285813594443626,0.8277777777777777
4,xgb,0.75,0.72,0.7407407407407407,0.16679693731512368,0.7416666666666667,0.7400643338143338,0.8222222222222223
5,logreg,0.8,0.8,0.8,0.1586213790250444,0.8,0.8818598847546215,0.8800000000000001
5,svm_rbf,0.8,0.7058823529411765,0.6666666666666666,0.24623175329769748,0.6666666666666667,0.8376718447244762,0.7866666666666666
5,rf,0.7333333333333333,0.6875,0.6666666666666666,0.28953588392023427,0.6666666666666666,0.7411738318515811,0.6488888888888888
5,xgb,0.6666666666666666,0.6451612903225806,0.6333333333333333,0.3032333703055138,0.6333333333333333,0.658590523217298,0.6
